time,lat,lon,alt,Vx,Vy,Vz,source
2022-07-17T18:45:01.233,36.194887,-115.173090,2400,-68.00000,28.00000,-704,ADSB
2022-07-17T18:45:02.203,36.195037,-115.173476,2400,-66.00000,32.00000,-704,ADSB
2022-07-17T18:45:03.672,36.195295,-115.174055,2375,-63.00000,36.00000,-832,ADSB
2022-07-17T18:45:04.888,36.195509,-115.174484,2375,-62.00000,39.00000,-768,ADSB
2022-07-17T18:45:05.873,36.195681,-115.174849,2350,-60.00000,41.00000,-704,ADSB
2022-07-17T18:45:06.545,36.195810,-115.175042,2350,-60.00000,43.00000,-576,ADSB
2022-07-17T18:45:07.701,36.196046,-115.175450,2350,-58.00000,45.00000,-512,ADSB
2022-07-17T18:45:08.545,36.196239,-115.175707,2325,-57.00000,47.00000,-384,ADSB
2022-07-17T18:45:09.685,36.196496,-115.176094,2325,-55.00000,48.00000,-192,ADSB
2022-07-17T18:45:10.812,36.196711,-115.176394,2325,-55.00000,48.00000,-192,ADSB
2022-07-17T18:45:12.281,36.197033,-115.176845,2300,-53.00000,48.00000,-320,ADSB
2022-07-17T18:45:13.093,36.197205,-115.177081,2300,-53.00000,48.00000,-256,ADSB
2022-07-17T18:45:13.578,36.197355,-115.177252,2300,-52.00000,49.00000,-256,ADSB
2022-07-17T18:45:15.124,36.197655,-115.177681,2300,-51.00000,48.00000,-256,ADSB
2022-07-17T18:45:15.577,36.197805,-115.177853,2300,-50.00000,48.00000,-384,ADSB
2022-07-17T18:45:16.639,36.198020,-115.178132,2300,-50.00000,47.00000,-320,ADSB
2022-07-17T18:45:18.280,36.198363,-115.178604,2300,-51.00000,46.00000,-320,ADSB
2022-07-17T18:45:18.889,36.198535,-115.178840,2300,-51.00000,46.00000,-448,ADSB
2022-07-17T18:45:19.684,36.198664,-115.179012,2275,-51.00000,46.00000,-576,ADSB
2022-07-17T18:45:20.857,36.198964,-115.179420,2275,-51.00000,46.00000,-448,ADSB
2022-07-17T18:45:22.279,36.199222,-115.179763,2250,-50.00000,47.00000,-320,ADSB
2022-07-17T18:45:22.701,36.199350,-115.179935,2250,-49.00000,48.00000,-384,ADSB
2022-07-17T18:45:24.170,36.199608,-115.180256,2250,-48.00000,47.00000,-448,ADSB
2022-07-17T18:45:24.795,36.199780,-115.180492,2225,-48.00000,47.00000,-384,ADSB
2022-07-17T18:45:26.247,36.200080,-115.180857,2225,-47.00000,46.00000,-448,ADSB
2022-07-17T18:45:26.762,36.200209,-115.181029,2225,-47.00000,46.00000,-384,ADSB
2022-07-17T18:45:28.169,36.200466,-115.181351,2200,-46.00000,46.00000,-256,ADSB
2022-07-17T18:45:28.903,36.200681,-115.181608,2200,-46.00000,46.00000,-192,ADSB
2022-07-17T18:45:29.841,36.200852,-115.181823,2200,-46.00000,45.00000,-256,ADSB
2022-07-17T18:45:30.952,36.201088,-115.182123,2200,-45.00000,44.00000,-640,ADSB
2022-07-17T18:45:32.046,36.201303,-115.182381,2200,-46.00000,43.00000,-704,ADSB
2022-07-17T18:45:32.561,36.201410,-115.182552,2175,-46.00000,43.00000,-768,ADSB
2022-07-17T18:45:33.655,36.201625,-115.182810,2175,-45.00000,43.00000,-640,ADSB
2022-07-17T18:45:34.967,36.201904,-115.183175,2175,-45.00000,43.00000,-512,ADSB
2022-07-17T18:45:35.811,36.202054,-115.183368,2150,-44.00000,43.00000,-512,ADSB
2022-07-17T18:45:36.717,36.202269,-115.183625,2150,-44.00000,43.00000,-512,ADSB
2022-07-17T18:45:37.826,36.202462,-115.183883,2125,-44.00000,43.00000,-384,ADSB
2022-07-17T18:45:39.155,36.202741,-115.184226,2125,-43.00000,43.00000,-384,ADSB
2022-07-17T18:45:40.342,36.202934,-115.184462,2125,-43.00000,43.00000,-384,ADSB
