time,lat,lon,alt,Vx,Vy,Vz,source
2022-07-17T18:45:00.498,36.114893,-115.505705,6450,-93.00000,-136.00000,1152,ADSB
2022-07-17T18:45:01.328,36.114292,-115.506113,6450,-87.00000,-139.00000,1088,ADSB
2022-07-17T18:45:10.312,36.107833,-115.506692,6475,-78.00000,-144.00000,1152,ADSB
2022-07-17T18:45:11.390,36.107168,-115.506349,6625,43.00000,-153.00000,1344,ADSB
2022-07-17T18:45:12.296,36.106567,-115.505962,6675,68.00000,-140.00000,2240,ADSB
2022-07-17T18:45:13.156,36.106052,-115.505512,6700,84.00000,-127.00000,2880,ADSB
2022-07-17T18:45:14.203,36.105516,-115.504932,6775,99.00000,-110.00000,3136,ADSB
2022-07-17T18:45:15.249,36.105001,-115.504246,6825,108.00000,-97.00000,3264,ADSB
2022-07-17T18:45:16.217,36.104658,-115.503538,6875,116.00000,-79.00000,3584,ADSB
2022-07-17T18:45:16.889,36.104572,-115.503302,6875,116.00000,-79.00000,3584,ADSB
2022-07-17T18:45:17.874,36.104314,-115.502701,6975,117.00000,-57.00000,4416,ADSB
2022-07-17T18:45:18.874,36.104057,-115.502014,7050,109.00000,-54.00000,4864,ADSB
2022-07-17T18:45:19.715,36.103735,-115.501435,7125,98.00000,-62.00000,4096,ADSB
2022-07-17T18:45:20.592,36.103456,-115.500898,7175,96.00000,-68.00000,2112,ADSB
2022-07-17T18:45:21.404,36.103306,-115.500727,7175,96.00000,-68.00000,2112,ADSB
2022-07-17T18:45:22.279,36.102898,-115.500019,7200,98.00000,-72.00000,-1344,ADSB
2022-07-17T18:45:23.279,36.102576,-115.499439,7250,101.00000,-71.00000,-3008,ADSB
2022-07-17T18:45:24.372,36.102276,-115.498796,7175,108.00000,-65.00000,-5760,ADSB
2022-07-17T18:45:25.356,36.102040,-115.498066,7000,115.00000,-58.00000,-6848,ADSB
2022-07-17T18:45:26.387,36.101890,-115.497272,6900,125.00000,-46.00000,-7872,ADSB
2022-07-17T18:45:27.512,36.101804,-115.496242,6725,156.00000,-19.00000,-7936,ADSB
2022-07-17T18:45:28.591,36.101761,-115.495255,6500,169.00000,-11.00000,-7104,ADSB
2022-07-17T18:45:29.404,36.101718,-115.494311,6450,176.00000,-5.00000,-6400,ADSB
2022-07-17T18:45:30.327,36.101761,-115.493367,6450,185.00000,2.00000,-4864,ADSB
2022-07-17T18:45:31.358,36.101761,-115.492294,6275,192.00000,6.00000,-3264,ADSB
2022-07-17T18:45:32.421,36.101761,-115.491028,6225,195.00000,-4.00000,-1280,ADSB
2022-07-17T18:45:33.374,36.101675,-115.490041,6225,193.00000,-19.00000,-64,ADSB
2022-07-17T18:45:34.171,36.101525,-115.489204,6225,191.00000,-29.00000,448,ADSB
2022-07-17T18:45:35.107,36.101310,-115.488174,6250,182.00000,-51.00000,1280,ADSB
2022-07-17T18:45:36.201,36.100988,-115.487187,6275,173.00000,-65.00000,1728,ADSB
2022-07-17T18:45:37.045,36.100645,-115.486350,6275,168.00000,-72.00000,1984,ADSB
2022-07-17T18:45:37.967,36.100194,-115.485535,6350,147.00000,-92.00000,3008,ADSB
2022-07-17T18:45:39.014,36.099744,-115.484741,6400,137.00000,-97.00000,3328,ADSB
2022-07-17T18:45:40.045,36.099250,-115.483947,6350,130.00000,-100.00000,3328,ADSB
2022-07-17T18:45:40.983,36.098886,-115.483410,6500,121.00000,-103.00000,3392,ADSB
2022-07-17T18:45:41.983,36.098371,-115.482788,6575,112.00000,-106.00000,3136,ADSB
