time,lat,lon,alt,Vx,Vy,Vz,source
2022-07-17T18:46:51.663,36.275000,-115.486667,7900,-72.14257,26.91561,0,DERIVED-PPB
2022-07-17T18:46:52.563,36.275000,-115.486944,7900,-72.14257,26.91561,0,DERIVED-PPB
2022-07-17T18:46:53.900,36.275000,-115.487778,7900,-74.33239,23.63675,0,DERIVED-PPB
2022-07-17T18:46:54.800,36.275000,-115.488056,7900,-74.89150,21.80052,0,DERIVED-PPB
2022-07-17T18:46:55.850,36.275278,-115.488611,7900,-75.85165,22.08002,0,DERIVED-PPB
2022-07-17T18:46:57.350,36.275278,-115.489444,7900,-78.30547,20.71844,0,DERIVED-PPB
2022-07-17T18:46:57.950,36.275278,-115.489722,7900,-79.27220,20.97422,0,DERIVED-PPB
2022-07-17T18:46:58.699,36.275278,-115.490000,7900,-79.76430,19.01725,0,DERIVED-PPB
2022-07-17T18:47:00.063,36.275556,-115.490833,7900,-80.73704,19.24917,0,DERIVED-PPB
2022-07-17T18:47:00.500,36.275556,-115.490833,7900,-80.20810,17.04876,0,DERIVED-PPB
2022-07-17T18:47:02.150,36.275556,-115.491667,7900,-81.18625,17.25667,0,DERIVED-PPB
2022-07-17T18:47:02.900,36.275556,-115.491944,7900,-81.18625,17.25667,0,DERIVED-PPB
2022-07-17T18:47:03.650,36.275833,-115.492500,8000,-81.18625,17.25667,8000,DERIVED-PPB
2022-07-17T18:47:05.000,36.275833,-115.493056,8000,-81.18625,17.25667,0,DERIVED-PPB
2022-07-17T18:47:05.750,36.275833,-115.493611,8000,-81.58630,15.25372,0,DERIVED-PPB
2022-07-17T18:47:07.110,36.275833,-115.494167,8000,-81.58630,15.25372,0,DERIVED-PPB
2022-07-17T18:47:08.173,36.275833,-115.494444,8000,-81.58630,15.25372,0,DERIVED-PPB
2022-07-17T18:47:08.910,36.275833,-115.494722,8000,-81.58630,15.25372,0,DERIVED-PPB
2022-07-17T18:47:09.960,36.276111,-115.495556,8000,-82.56926,15.43750,0,DERIVED-PPB
2022-07-17T18:47:10.560,36.276111,-115.495833,8000,-82.56926,15.43750,0,DERIVED-PPB
2022-07-17T18:47:11.460,36.276111,-115.496111,8000,-82.92413,13.40107,0,DERIVED-PPB
2022-07-17T18:47:12.673,36.276111,-115.496667,8000,-82.92413,13.40107,0,DERIVED-PPB
2022-07-17T18:47:14.010,36.276111,-115.497500,8000,-83.91132,13.56061,0,DERIVED-PPB
2022-07-17T18:47:15.060,36.276111,-115.498056,8000,-83.91132,13.56061,0,DERIVED-PPB
2022-07-17T18:47:15.813,36.276111,-115.498611,8000,-83.91132,13.56061,0,DERIVED-PPB
2022-07-17T18:47:17.010,36.276389,-115.499167,8000,-85.21041,11.62692,0,DERIVED-PPB
2022-07-17T18:47:18.210,36.276389,-115.499722,7900,-85.21041,11.62692,-5000,DERIVED-PPB
2022-07-17T18:47:18.959,36.276389,-115.500278,7900,-85.21041,11.62692,0,DERIVED-PPB
2022-07-17T18:47:19.859,36.276389,-115.500556,7900,-85.88571,13.87968,0,DERIVED-PPB
2022-07-17T18:47:21.060,36.276667,-115.501389,7900,-86.87290,14.03922,0,DERIVED-PPB
2022-07-17T18:47:22.278,36.276667,-115.502222,7900,-86.87290,14.03922,0,DERIVED-PPB
2022-07-17T18:47:22.559,36.276667,-115.502222,7900,-87.19205,11.89732,0,DERIVED-PPB
2022-07-17T18:47:23.910,36.276667,-115.503056,7900,-88.18287,12.03252,0,DERIVED-PPB
2022-07-17T18:47:24.673,36.276667,-115.503611,7900,-90.16451,12.30291,0,DERIVED-PPB
2022-07-17T18:47:26.009,36.276944,-115.504444,7900,-90.16451,12.30291,0,DERIVED-PPB
2022-07-17T18:47:26.609,36.276944,-115.504722,7900,-90.16451,12.30291,0,DERIVED-PPB
2022-07-17T18:47:28.259,36.276944,-115.505556,7900,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:29.010,36.276944,-115.505833,7900,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:30.210,36.276944,-115.506667,7900,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:30.823,36.277222,-115.506944,8000,-92.14615,12.57330,9788,DERIVED-PPB
2022-07-17T18:47:33.073,36.277222,-115.507778,8000,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:34.110,36.277222,-115.508611,8000,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:35.010,36.277222,-115.508889,8000,-91.15533,12.43811,0,DERIVED-PPB
2022-07-17T18:47:36.223,36.277222,-115.509444,8100,-91.15533,12.43811,4946,DERIVED-PPB
2022-07-17T18:47:38.308,36.277222,-115.510556,8100,-91.43379,10.19131,0,DERIVED-PPB
2022-07-17T18:47:38.609,36.277222,-115.510833,8100,-91.43379,10.19131,0,DERIVED-PPB
2022-07-17T18:47:41.923,36.276944,-115.512222,8100,-91.43379,10.19131,0,DERIVED-PPB
2022-07-17T18:47:44.760,36.276944,-115.513611,8100,-89.66433,7.76577,0,DERIVED-PPB
2022-07-17T18:47:45.823,36.276944,-115.513889,8100,-89.66433,7.76577,0,DERIVED-PPB
2022-07-17T18:47:46.710,36.276944,-115.514444,8100,-89.82827,5.55708,0,DERIVED-PPB
2022-07-17T18:47:48.059,36.276944,-115.515278,8000,-88.93851,3.30786,-4448,DERIVED-PPB
2022-07-17T18:47:48.659,36.276944,-115.515556,8000,-88.93851,3.30786,0,DERIVED-PPB
2022-07-17T18:47:49.709,36.276667,-115.516111,8000,-88.93851,3.30786,0,DERIVED-PPB
2022-07-17T18:47:51.209,36.276667,-115.516944,8000,-88.93851,3.30786,0,DERIVED-PPB
2022-07-17T18:47:51.809,36.276667,-115.517222,8000,-88.99297,1.11838,0,DERIVED-PPB
2022-07-17T18:47:53.159,36.276667,-115.518056,8000,-89.99289,1.13094,0,DERIVED-PPB
2022-07-17T18:47:53.773,36.276389,-115.518333,8000,-89.99289,1.13094,0,DERIVED-PPB
2022-07-17T18:47:54.823,36.276389,-115.518889,8000,-89.99347,-1.08382,0,DERIVED-PPB
2022-07-17T18:47:55.859,36.276389,-115.519444,8000,-89.99347,-1.08382,0,DERIVED-PPB
2022-07-17T18:47:57.509,36.276111,-115.520278,8000,-89.66839,-7.71882,0,DERIVED-PPB
2022-07-17T18:47:58.710,36.276111,-115.520833,8100,-89.66839,-7.71882,4996,DERIVED-PPB
2022-07-17T18:48:00.209,36.275833,-115.521667,8100,-89.66839,-7.71882,0,DERIVED-PPB
2022-07-17T18:48:00.659,36.275833,-115.521667,8100,-89.45130,-9.92293,0,DERIVED-PPB
2022-07-17T18:48:02.009,36.275556,-115.522500,8100,-88.47572,-16.49386,0,DERIVED-PPB
2022-07-17T18:48:03.208,36.275556,-115.522778,8100,-87.86751,-14.15275,0,DERIVED-PPB
2022-07-17T18:48:03.809,36.275556,-115.523056,8100,-87.86751,-14.15275,0,DERIVED-PPB
2022-07-17T18:48:04.559,36.275556,-115.523611,8100,-87.86751,-14.15275,0,DERIVED-PPB
2022-07-17T18:48:05.923,36.275556,-115.524167,8100,-85.52653,-15.94406,0,DERIVED-PPB
2022-07-17T18:48:07.274,36.275278,-115.524722,8100,-85.52653,-15.94406,0,DERIVED-PPB
2022-07-17T18:48:07.859,36.275278,-115.525000,8100,-85.52653,-15.94406,0,DERIVED-PPB
2022-07-17T18:48:08.924,36.275278,-115.525556,8100,-84.54346,-15.76080,0,DERIVED-PPB
2022-07-17T18:48:10.859,36.275000,-115.526111,8100,-84.54346,-15.76080,0,DERIVED-PPB
2022-07-17T18:48:11.759,36.274722,-115.526667,8100,-83.15179,-17.62896,0,DERIVED-PPB
2022-07-17T18:48:14.759,36.274167,-115.527778,8100,-82.69282,-19.66971,0,DERIVED-PPB
2022-07-17T18:48:16.259,36.273889,-115.528333,8100,-80.66467,-23.43525,0,DERIVED-PPB
2022-07-17T18:48:16.709,36.273611,-115.528611,8100,-79.11044,-25.11051,0,DERIVED-PPB
2022-07-17T18:48:18.073,36.273333,-115.529167,8100,-77.77925,-28.97221,0,DERIVED-PPB
2022-07-17T18:48:18.959,36.273056,-115.529444,8100,-75.34088,-32.36900,0,DERIVED-PPB
2022-07-17T18:48:20.008,36.272778,-115.529722,8100,-72.74810,-37.83799,0,DERIVED-PPB
2022-07-17T18:48:21.059,36.272500,-115.530000,8100,-69.75899,-43.10085,0,DERIVED-PPB
2022-07-17T18:48:22.260,36.272222,-115.530278,8100,-65.18544,-49.74795,0,DERIVED-PPB
2022-07-17T18:48:22.709,36.271944,-115.530556,8100,-62.08647,-55.08421,0,DERIVED-PPB
2022-07-17T18:48:23.774,36.271667,-115.530833,8100,-60.01571,-58.77172,0,DERIVED-PPB
2022-07-17T18:48:24.959,36.271111,-115.531111,8100,-55.51720,-63.03841,0,DERIVED-PPB
2022-07-17T18:48:26.008,36.270833,-115.531389,8100,-52.97178,-66.47549,0,DERIVED-PPB
2022-07-17T18:48:26.758,36.270556,-115.531667,8100,-51.92376,-68.55598,0,DERIVED-PPB
2022-07-17T18:48:27.673,36.270278,-115.531944,8100,-50.22111,-69.81290,0,DERIVED-PPB
2022-07-17T18:48:28.724,36.270000,-115.532222,8100,-48.48804,-71.02753,0,DERIVED-PPB
2022-07-17T18:48:30.058,36.269444,-115.532500,8100,-47.26893,-73.03868,0,DERIVED-PPB
