time,lat,lon,alt,Vx,Vy,Vz,source
2022-07-17T18:46:42.639,36.205766,-115.191457,2075,-25.00000,23.00000,-64,ADSB
2022-07-17T18:46:44.061,36.205938,-115.191672,2075,-28.00000,28.00000,-192,ADSB
2022-07-17T18:46:44.810,36.206045,-115.191801,2075,-30.00000,30.00000,-192,ADSB
2022-07-17T18:46:45.124,36.206088,-115.191886,2075,-29.00000,29.00000,-192,ADSB
2022-07-17T18:46:46.015,36.206238,-115.192015,2075,-33.00000,33.00000,-128,ADSB
2022-07-17T18:46:47.249,36.206410,-115.192273,2075,-36.00000,37.00000,-64,ADSB
2022-07-17T18:46:48.093,36.206560,-115.192466,2075,-37.00000,38.00000,-64,ADSB
2022-07-17T18:46:48.874,36.206753,-115.192659,2075,-41.00000,40.00000,-64,ADSB
2022-07-17T18:46:49.763,36.206861,-115.192809,2075,-44.00000,42.00000,-64,ADSB
2022-07-17T18:46:50.014,36.206903,-115.192916,2075,-41.00000,40.00000,0,ADSB
2022-07-17T18:46:51.123,36.207182,-115.193195,2075,-41.00000,40.00000,0,ADSB
2022-07-17T18:46:52.264,36.207418,-115.193539,2100,-47.00000,46.00000,0,ADSB
2022-07-17T18:46:53.170,36.207633,-115.193818,2100,-52.00000,49.00000,0,ADSB
2022-07-17T18:46:53.858,36.207783,-115.193989,2100,-53.00000,50.00000,-64,ADSB
2022-07-17T18:46:54.268,36.207869,-115.194118,2100,-53.00000,49.00000,-64,ADSB
2022-07-17T18:46:55.154,36.208105,-115.194418,2100,-55.00000,53.00000,-64,ADSB
2022-07-17T18:46:55.748,36.208234,-115.194569,2100,-55.00000,53.00000,-64,ADSB
2022-07-17T18:46:56.748,36.208470,-115.194933,2100,-57.00000,55.00000,-128,ADSB
2022-07-17T18:46:57.264,36.208642,-115.195084,2100,-59.00000,58.00000,-64,ADSB
2022-07-17T18:46:57.733,36.208749,-115.195277,2075,-58.00000,58.00000,-64,ADSB
2022-07-17T18:46:58.592,36.209028,-115.195620,2100,-60.00000,60.00000,-64,ADSB
2022-07-17T18:46:59.201,36.209178,-115.195770,2100,-62.00000,61.00000,-64,ADSB
2022-07-17T18:46:59.607,36.209307,-115.195985,2100,-63.00000,61.00000,-64,ADSB
2022-07-17T18:47:00.280,36.209478,-115.196135,2100,-64.00000,62.00000,128,ADSB
2022-07-17T18:47:00.640,36.209564,-115.196285,2100,-65.00000,62.00000,64,ADSB
2022-07-17T18:47:01.515,36.209822,-115.196607,2100,-66.00000,63.00000,256,ADSB
2022-07-17T18:47:02.421,36.210122,-115.196972,2100,-66.00000,64.00000,256,ADSB
2022-07-17T18:47:03.062,36.210294,-115.197208,2100,-68.00000,65.00000,576,ADSB
2022-07-17T18:47:03.968,36.210594,-115.197594,2125,-69.00000,66.00000,320,ADSB
2022-07-17T18:47:04.341,36.210701,-115.197766,2125,-69.00000,66.00000,320,ADSB
2022-07-17T18:47:05.375,36.211023,-115.198174,2125,-69.00000,66.00000,192,ADSB
2022-07-17T18:47:06.015,36.211238,-115.198388,2125,-69.00000,68.00000,512,ADSB
2022-07-17T18:47:06.265,36.211367,-115.198538,2125,-69.00000,68.00000,256,ADSB
2022-07-17T18:47:07.515,36.211753,-115.199032,2150,-69.00000,70.00000,384,ADSB
2022-07-17T18:47:08.734,36.212118,-115.199482,2150,-69.00000,71.00000,320,ADSB
2022-07-17T18:47:09.685,36.212440,-115.199890,2150,-70.00000,71.00000,512,ADSB
2022-07-17T18:47:10.624,36.212761,-115.200233,2175,-70.00000,72.00000,448,ADSB
2022-07-17T18:47:24.786,36.216946,-115.206435,2400,-89.00000,49.00000,576,ADSB
2022-07-17T18:47:25.717,36.217117,-115.206864,2400,-93.00000,45.00000,512,ADSB
2022-07-17T18:47:25.968,36.217160,-115.207100,2400,-91.00000,46.00000,512,ADSB
2022-07-17T18:47:26.906,36.217353,-115.207593,2400,-94.00000,42.00000,512,ADSB
2022-07-17T18:47:27.890,36.217504,-115.208130,2425,-97.00000,38.00000,448,ADSB
2022-07-17T18:47:28.703,36.217675,-115.208645,2425,-101.00000,30.00000,512,ADSB
2022-07-17T18:47:29.779,36.217782,-115.209289,2425,-102.00000,27.00000,448,ADSB
2022-07-17T18:47:30.811,36.217847,-115.209846,2425,-102.00000,27.00000,448,ADSB
2022-07-17T18:47:31.780,36.217933,-115.210426,2450,-106.00000,15.00000,512,ADSB
2022-07-17T18:47:32.624,36.217976,-115.210919,2475,-107.00000,8.00000,512,ADSB
2022-07-17T18:47:33.905,36.218019,-115.211756,2475,-108.00000,2.00000,512,ADSB
2022-07-17T18:47:34.904,36.217997,-115.212293,2475,-110.00000,-4.00000,384,ADSB
2022-07-17T18:47:35.734,36.217954,-115.212936,2475,-111.00000,-9.00000,256,ADSB
2022-07-17T18:47:36.922,36.217890,-115.213687,2475,-112.00000,-15.00000,320,ADSB
2022-07-17T18:47:37.656,36.217825,-115.214074,2475,-112.00000,-18.00000,256,ADSB
2022-07-17T18:47:38.031,36.217782,-115.214374,2500,-112.00000,-18.00000,256,ADSB
2022-07-17T18:47:39.078,36.217675,-115.215104,2500,-112.00000,-24.00000,128,ADSB
2022-07-17T18:47:39.967,36.217568,-115.215619,2500,-113.00000,-28.00000,256,ADSB
2022-07-17T18:47:40.812,36.217439,-115.216134,2500,-113.00000,-31.00000,384,ADSB
2022-07-17T18:47:41.390,36.217353,-115.216541,2525,-113.00000,-32.00000,320,ADSB
2022-07-17T18:47:42.359,36.217160,-115.217164,2525,-112.00000,-36.00000,64,ADSB
2022-07-17T18:47:43.374,36.216989,-115.217807,2525,-112.00000,-39.00000,192,ADSB
2022-07-17T18:47:44.015,36.216881,-115.218194,2525,-112.00000,-41.00000,256,ADSB
2022-07-17T18:47:44.872,36.216731,-115.218709,2525,-112.00000,-42.00000,320,ADSB
2022-07-17T18:47:45.330,36.216624,-115.219116,2525,-112.00000,-42.00000,320,ADSB
2022-07-17T18:47:46.486,36.216388,-115.219760,2550,-112.00000,-44.00000,384,ADSB
2022-07-17T18:47:46.877,36.216280,-115.220125,2550,-113.00000,-45.00000,384,ADSB
2022-07-17T18:47:48.127,36.216023,-115.220897,2550,-113.00000,-45.00000,384,ADSB
2022-07-17T18:47:49.189,36.215830,-115.221541,2575,-114.00000,-46.00000,512,ADSB
2022-07-17T18:47:50.045,36.215594,-115.222185,2575,-114.00000,-47.00000,512,ADSB
2022-07-17T18:47:50.858,36.215422,-115.222721,2575,-114.00000,-47.00000,512,ADSB
2022-07-17T18:47:51.561,36.215293,-115.223107,2600,-115.00000,-48.00000,384,ADSB
2022-07-17T18:47:52.093,36.215143,-115.223515,2575,-115.00000,-48.00000,384,ADSB
2022-07-17T18:47:52.687,36.215036,-115.223901,2600,-115.00000,-48.00000,320,ADSB
2022-07-17T18:47:53.984,36.214757,-115.224695,2600,-116.00000,-49.00000,256,ADSB
2022-07-17T18:47:54.797,36.214585,-115.225232,2600,-117.00000,-49.00000,256,ADSB
2022-07-17T18:47:55.499,36.214392,-115.225768,2600,-117.00000,-50.00000,320,ADSB
2022-07-17T18:47:55.936,36.214285,-115.226047,2600,-117.00000,-50.00000,320,ADSB
2022-07-17T18:47:56.671,36.214113,-115.226562,2625,-118.00000,-50.00000,384,ADSB
2022-07-17T18:47:57.811,36.213877,-115.227249,2625,-118.00000,-50.00000,384,ADSB
2022-07-17T18:47:58.530,36.213706,-115.227785,2625,-119.00000,-50.00000,384,ADSB
2022-07-17T18:47:58.921,36.213598,-115.228043,2650,-119.00000,-50.00000,384,ADSB
2022-07-17T18:47:59.982,36.213405,-115.228708,2650,-120.00000,-49.00000,320,ADSB
2022-07-17T18:48:00.468,36.213233,-115.229158,2650,-120.00000,-49.00000,384,ADSB
2022-07-17T18:48:01.015,36.213126,-115.229523,2650,-120.00000,-49.00000,384,ADSB
2022-07-17T18:48:01.968,36.212890,-115.230210,2650,-121.00000,-50.00000,384,ADSB
2022-07-17T18:48:02.687,36.212740,-115.230682,2675,-122.00000,-50.00000,576,ADSB
2022-07-17T18:48:03.749,36.212504,-115.231390,2675,-123.00000,-51.00000,448,ADSB
2022-07-17T18:48:04.109,36.212397,-115.231712,2675,-123.00000,-51.00000,448,ADSB
2022-07-17T18:48:04.795,36.212311,-115.231926,2700,-123.00000,-51.00000,448,ADSB
2022-07-17T18:48:05.671,36.212032,-115.232806,2700,-124.00000,-50.00000,512,ADSB
2022-07-17T18:48:06.609,36.211839,-115.233364,2700,-125.00000,-50.00000,448,ADSB
2022-07-17T18:48:06.937,36.211731,-115.233665,2700,-125.00000,-49.00000,448,ADSB
2022-07-17T18:48:07.641,36.211581,-115.234222,2725,-125.00000,-49.00000,768,ADSB
2022-07-17T18:48:08.532,36.211367,-115.234888,2725,-125.00000,-49.00000,576,ADSB
2022-07-17T18:48:09.283,36.211259,-115.235231,2725,-125.00000,-50.00000,512,ADSB
2022-07-17T18:48:09.592,36.211131,-115.235531,2725,-125.00000,-50.00000,512,ADSB
2022-07-17T18:48:10.593,36.210895,-115.236304,2750,-124.00000,-50.00000,704,ADSB
2022-07-17T18:48:11.062,36.210787,-115.236647,2775,-124.00000,-51.00000,896,ADSB
2022-07-17T18:48:11.468,36.210659,-115.236905,2775,-124.00000,-51.00000,896,ADSB
2022-07-17T18:48:12.593,36.210423,-115.237699,2800,-123.00000,-51.00000,1088,ADSB
2022-07-17T18:48:13.469,36.210208,-115.238342,2825,-122.00000,-51.00000,1216,ADSB
2022-07-17T18:48:14.388,36.209993,-115.239029,2850,-122.00000,-50.00000,1344,ADSB
2022-07-17T18:48:15.405,36.209779,-115.239694,2875,-122.00000,-50.00000,1280,ADSB
2022-07-17T18:48:16.093,36.209607,-115.240145,2900,-122.00000,-50.00000,1216,ADSB
2022-07-17T18:48:17.061,36.209393,-115.240831,2900,-122.00000,-50.00000,1024,ADSB
2022-07-17T18:48:18.155,36.209157,-115.241539,2900,-122.00000,-49.00000,768,ADSB
2022-07-17T18:48:18.530,36.209071,-115.241840,2925,-122.00000,-49.00000,768,ADSB
2022-07-17T18:48:19.498,36.208835,-115.242527,2925,-123.00000,-49.00000,640,ADSB
2022-07-17T18:48:20.499,36.208599,-115.243213,2950,-123.00000,-49.00000,640,ADSB
2022-07-17T18:48:21.437,36.208384,-115.243943,2950,-124.00000,-49.00000,512,ADSB
2022-07-17T18:48:22.437,36.208148,-115.244629,2950,-124.00000,-50.00000,512,ADSB
2022-07-17T18:48:23.609,36.207912,-115.245359,2950,-124.00000,-50.00000,448,ADSB
2022-07-17T18:48:24.686,36.207590,-115.246239,2975,-125.00000,-50.00000,384,ADSB
2022-07-17T18:48:25.718,36.207376,-115.246925,2975,-125.00000,-51.00000,384,ADSB
2022-07-17T18:48:26.655,36.207139,-115.247676,2975,-126.00000,-51.00000,320,ADSB
2022-07-17T18:48:27.765,36.206903,-115.248363,3000,-126.00000,-51.00000,384,ADSB
2022-07-17T18:48:28.828,36.206646,-115.249157,2975,-126.00000,-51.00000,384,ADSB
2022-07-17T18:48:29.701,36.206453,-115.249779,3000,-126.00000,-52.00000,448,ADSB
2022-07-17T18:48:30.734,36.206152,-115.250616,3000,-126.00000,-52.00000,512,ADSB
2022-07-17T18:48:31.843,36.205916,-115.251389,3050,-126.00000,-52.00000,704,ADSB
2022-07-17T18:48:32.828,36.205766,-115.251818,3050,-126.00000,-52.00000,768,ADSB
2022-07-17T18:48:32.937,36.205680,-115.252140,3025,-126.00000,-52.00000,768,ADSB
2022-07-17T18:48:33.859,36.205444,-115.252719,3050,-126.00000,-52.00000,832,ADSB
2022-07-17T18:48:34.530,36.205294,-115.253277,3075,-126.00000,-51.00000,896,ADSB
2022-07-17T18:48:35.812,36.204972,-115.254242,3125,-126.00000,-51.00000,960,ADSB
2022-07-17T18:48:36.812,36.204736,-115.254929,3100,-126.00000,-51.00000,1024,ADSB
2022-07-17T18:48:37.765,36.204522,-115.255573,3150,-126.00000,-50.00000,1024,ADSB
2022-07-17T18:48:38.781,36.204286,-115.256281,3150,-126.00000,-50.00000,1024,ADSB
2022-07-17T18:48:39.670,36.204071,-115.257010,3175,-125.00000,-50.00000,1024,ADSB
2022-07-17T18:48:40.749,36.203835,-115.257740,3175,-125.00000,-50.00000,1024,ADSB
2022-07-17T18:48:41.968,36.203578,-115.258598,3225,-125.00000,-49.00000,1024,ADSB
2022-07-17T18:48:42.843,36.203341,-115.259285,3225,-124.00000,-50.00000,1024,ADSB
2022-07-17T18:48:43.843,36.203148,-115.259864,3250,-123.00000,-52.00000,1024,ADSB
2022-07-17T18:48:44.404,36.202977,-115.260379,3250,-123.00000,-52.00000,960,ADSB
2022-07-17T18:48:45.452,36.202655,-115.261109,3275,-122.00000,-55.00000,1088,ADSB
2022-07-17T18:48:46.405,36.202419,-115.261710,3300,-121.00000,-57.00000,1088,ADSB
2022-07-17T18:48:46.952,36.202290,-115.262074,3300,-118.00000,-64.00000,1152,ADSB
2022-07-17T18:48:47.359,36.202140,-115.262418,3300,-117.00000,-65.00000,1088,ADSB
2022-07-17T18:48:48.437,36.201818,-115.263062,3325,-115.00000,-70.00000,1024,ADSB
2022-07-17T18:48:49.576,36.201389,-115.263813,3350,-111.00000,-76.00000,1024,ADSB
2022-07-17T18:48:50.140,36.201217,-115.264134,3325,-109.00000,-78.00000,896,ADSB
2022-07-17T18:48:50.499,36.201024,-115.264413,3350,-109.00000,-78.00000,896,ADSB
2022-07-17T18:48:51.499,36.200659,-115.264993,3375,-106.00000,-82.00000,704,ADSB
2022-07-17T18:48:52.500,36.200230,-115.265636,3375,-104.00000,-84.00000,768,ADSB
2022-07-17T18:48:53.468,36.199908,-115.266109,3400,-103.00000,-87.00000,768,ADSB
2022-07-17T18:48:54.499,36.199458,-115.266774,3400,-102.00000,-88.00000,704,ADSB
2022-07-17T18:48:55.372,36.199114,-115.267203,3425,-102.00000,-88.00000,704,ADSB
2022-07-17T18:48:55.888,36.198900,-115.267568,3450,-101.00000,-89.00000,704,ADSB
2022-07-17T18:48:56.326,36.198707,-115.267804,3425,-101.00000,-89.00000,704,ADSB
2022-07-17T18:48:57.373,36.198277,-115.268447,3425,-101.00000,-89.00000,640,ADSB
2022-07-17T18:48:58.404,36.197827,-115.269070,3475,-102.00000,-90.00000,640,ADSB
2022-07-17T18:48:59.436,36.197441,-115.269606,3450,-102.00000,-90.00000,576,ADSB
2022-07-17T18:49:00.077,36.197162,-115.270014,3475,-102.00000,-90.00000,576,ADSB
2022-07-17T18:49:00.515,36.196969,-115.270271,3475,-102.00000,-90.00000,576,ADSB
2022-07-17T18:49:01.437,36.196582,-115.270829,3500,-102.00000,-90.00000,512,ADSB
2022-07-17T18:49:02.375,36.196175,-115.271366,3500,-102.00000,-90.00000,512,ADSB
2022-07-17T18:49:02.953,36.195982,-115.271645,3500,-102.00000,-90.00000,512,ADSB
2022-07-17T18:49:03.641,36.195745,-115.271988,3525,-103.00000,-90.00000,576,ADSB
2022-07-17T18:49:04.467,36.195316,-115.272589,3525,-103.00000,-90.00000,704,ADSB
2022-07-17T18:49:04.982,36.195102,-115.272889,3525,-103.00000,-90.00000,640,ADSB
2022-07-17T18:49:05.468,36.194909,-115.273168,3525,-103.00000,-90.00000,704,ADSB
2022-07-17T18:49:06.124,36.194694,-115.273468,3550,-103.00000,-90.00000,704,ADSB
2022-07-17T18:49:06.968,36.194308,-115.273983,3550,-103.00000,-90.00000,768,ADSB
2022-07-17T18:49:07.609,36.194072,-115.274348,3575,-103.00000,-89.00000,768,ADSB
2022-07-17T18:49:08.140,36.193857,-115.274627,3575,-103.00000,-90.00000,768,ADSB
2022-07-17T18:49:09.031,36.193428,-115.275207,3600,-103.00000,-89.00000,832,ADSB
2022-07-17T18:49:09.701,36.193171,-115.275636,3625,-103.00000,-89.00000,832,ADSB
2022-07-17T18:49:10.484,36.192827,-115.276108,3625,-103.00000,-89.00000,832,ADSB
2022-07-17T18:49:11.562,36.192355,-115.276794,3625,-103.00000,-89.00000,768,ADSB
2022-07-17T18:49:13.078,36.191754,-115.277653,3650,-103.00000,-89.00000,832,ADSB
2022-07-17T18:49:14.156,36.191282,-115.278318,3650,-103.00000,-89.00000,704,ADSB
2022-07-17T18:49:14.920,36.191025,-115.278704,3675,-103.00000,-89.00000,704,ADSB
2022-07-17T18:49:15.703,36.190681,-115.279176,3675,-102.00000,-89.00000,768,ADSB
2022-07-17T18:49:16.875,36.190188,-115.279863,3700,-102.00000,-90.00000,768,ADSB
2022-07-17T18:49:17.531,36.189930,-115.280228,3725,-102.00000,-90.00000,768,ADSB
2022-07-17T18:49:17.875,36.189737,-115.280464,3700,-102.00000,-90.00000,768,ADSB
2022-07-17T18:49:18.719,36.189437,-115.280914,3725,-102.00000,-90.00000,768,ADSB
2022-07-17T18:49:19.857,36.188943,-115.281622,3750,-103.00000,-90.00000,704,ADSB
