time,lat,lon,alt,Vx,Vy,Vz,source
2022-07-17T18:45:00.092,37.068601,-115.048356,18625,-4.00000,-197.00000,-1088,ADSB
2022-07-17T18:45:00.670,37.067978,-115.048399,18625,-4.00000,-197.00000,-1088,ADSB
2022-07-17T18:45:01.656,37.067077,-115.048420,18575,-4.00000,-196.00000,-1088,ADSB
2022-07-17T18:45:02.062,37.066712,-115.048420,18575,-4.00000,-196.00000,-1024,ADSB
2022-07-17T18:45:03.000,37.066176,-115.048442,18575,-3.00000,-196.00000,-960,ADSB
2022-07-17T18:45:03.094,37.065768,-115.048463,18575,-3.00000,-196.00000,-960,ADSB
2022-07-17T18:45:04.047,37.065082,-115.048463,18550,-3.00000,-196.00000,-832,ADSB
2022-07-17T18:45:04.747,37.064352,-115.048463,18550,-2.00000,-196.00000,-768,ADSB
2022-07-17T18:45:05.279,37.063816,-115.048463,18550,-2.00000,-195.00000,-768,ADSB
2022-07-17T18:45:05.982,37.063279,-115.048485,18550,-2.00000,-195.00000,-704,ADSB
2022-07-17T18:45:06.326,37.062893,-115.048463,18525,-2.00000,-195.00000,-704,ADSB
2022-07-17T18:45:07.373,37.062013,-115.048528,18525,-2.00000,-195.00000,-640,ADSB
2022-07-17T18:45:08.420,37.061005,-115.048528,18500,-2.00000,-195.00000,-640,ADSB
2022-07-17T18:45:09.170,37.060382,-115.048506,18525,-1.00000,-194.00000,-704,ADSB
2022-07-17T18:45:10.029,37.059674,-115.048506,18475,-1.00000,-194.00000,-832,ADSB
2022-07-17T18:45:10.452,37.059138,-115.048528,18475,-1.00000,-194.00000,-896,ADSB
2022-07-17T18:45:11.515,37.058237,-115.048528,18450,-1.00000,-194.00000,-960,ADSB
2022-07-17T18:45:12.656,37.057121,-115.048528,18450,0.00000,-194.00000,-1024,ADSB
2022-07-17T18:45:13.546,37.056434,-115.048528,18425,0.00000,-194.00000,-1088,ADSB
2022-07-17T18:45:14.638,37.055340,-115.048528,18400,0.00000,-195.00000,-1088,ADSB
2022-07-17T18:45:15.545,37.054503,-115.048528,18375,0.00000,-194.00000,-1088,ADSB
2022-07-17T18:45:16.639,37.053709,-115.048528,18375,1.00000,-194.00000,-1088,ADSB
2022-07-17T18:45:17.561,37.052894,-115.048528,18350,1.00000,-194.00000,-1024,ADSB
2022-07-17T18:45:18.343,37.051992,-115.048528,18325,1.00000,-194.00000,-1024,ADSB
2022-07-17T18:45:19.294,37.051198,-115.048528,18325,1.00000,-194.00000,-1024,ADSB
2022-07-17T18:45:20.404,37.050211,-115.048485,18300,2.00000,-194.00000,-960,ADSB
2022-07-17T18:45:21.139,37.049589,-115.048485,18275,3.00000,-195.00000,-896,ADSB
2022-07-17T18:45:21.717,37.049053,-115.048463,18275,3.00000,-194.00000,-832,ADSB
2022-07-17T18:45:22.357,37.048409,-115.048485,18275,3.00000,-194.00000,-768,ADSB
2022-07-17T18:45:22.936,37.047958,-115.048442,18250,4.00000,-194.00000,-768,ADSB
2022-07-17T18:45:23.592,37.047315,-115.048420,18225,4.00000,-194.00000,-768,ADSB
2022-07-17T18:45:24.325,37.046885,-115.048420,18250,3.00000,-195.00000,-832,ADSB
2022-07-17T18:45:24.700,37.046328,-115.048420,18250,4.00000,-195.00000,-896,ADSB
2022-07-17T18:45:25.059,37.045941,-115.048420,18250,4.00000,-195.00000,-896,ADSB
2022-07-17T18:45:25.731,37.045426,-115.048420,18200,4.00000,-195.00000,-896,ADSB
2022-07-17T18:45:26.247,37.044976,-115.048356,18225,4.00000,-195.00000,-960,ADSB
