totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
18:45:01.797,300.051583,300.051583,-4.791790,8.006394
18:45:02.195,300.958431,300.958431,-4.769338,7.647399
18:45:03.398,302.221726,302.221726,-4.720897,7.028416
18:45:04.594,303.869288,303.869288,-4.632346,6.273468
18:45:05.594,305.740720,305.740720,-4.484030,5.135382
18:45:06.195,307.559084,307.559084,-4.263130,3.684146
18:45:07.398,309.139264,309.139264,-3.960184,2.432130
18:45:08.195,310.331393,310.331393,-3.582825,1.505452
18:45:09.398,311.291977,311.291977,-3.152625,1.400327
18:45:10.398,312.143338,312.143338,-2.710173,1.443128
18:45:11.797,312.890370,312.890370,-2.311125,0.902225
18:45:12.594,313.500407,313.500407,-2.010213,-0.357828
18:45:13.195,313.818419,313.818419,-1.843816,-2.354755
18:45:14.594,313.828730,313.828730,-1.822521,-3.922092
18:45:15.195,313.564610,313.564610,-1.939626,-4.568864
18:45:16.195,313.188924,313.188924,-2.181965,-4.038406
18:45:17.797,312.889432,312.889432,-2.529302,-2.706736
18:45:18.594,312.742168,312.742168,-2.953389,-1.343465
18:45:19.195,312.809515,312.809515,-3.407985,0.075344
18:45:20.594,312.969744,312.969744,-3.829690,0.978873
18:45:21.797,313.213248,313.213248,-4.150297,1.912008
18:45:22.398,313.478665,313.478665,-4.320022,2.550656
18:45:23.594,313.733917,313.733917,-4.320853,2.900880
18:45:24.398,313.987455,313.987455,-4.178372,3.009408
18:45:25.797,314.261723,314.261723,-3.951088,2.915684
18:45:26.398,314.463327,314.463327,-3.715950,2.272499
18:45:27.594,314.561479,314.561479,-3.539353,1.496928
18:45:28.594,314.439409,314.439409,-3.460726,0.488885
18:45:29.398,314.129296,314.129296,-3.489116,0.029663
18:45:30.594,313.762337,313.762337,-3.606812,0.430573
18:45:31.594,313.541819,313.541819,-3.798868,1.604257
18:45:32.195,313.577908,313.577908,-4.048676,2.774166
18:45:33.195,313.816552,313.816552,-4.337334,3.209795
18:45:34.594,314.132305,314.132305,-4.635321,2.836180
18:45:35.398,314.410082,314.410082,-4.909179,1.992822
18:45:36.398,314.640897,314.640897,-5.114906,1.230624
18:45:37.398,314.854226,314.854226,-5.203924,0.638699
18:45:38.797,314.872526,314.872526,-5.139186,-0.462856
18:45:39.797,314.679577,314.679577,-4.907666,-1.233726
18:45:40.398,314.192010,314.192010,-4.533783,-1.745471
18:45:41.195,313.527812,313.527812,-4.056714,-1.048910
18:45:42.594,312.971299,312.971299,-3.512599,1.193664
18:45:43.797,312.795810,312.795810,-2.933951,4.134616
18:45:44.195,313.118720,313.118720,-2.347746,6.202002
18:45:45.594,313.890278,313.890278,-1.781032,6.521448
18:45:46.398,314.926011,314.926011,-1.253497,5.200288
18:45:47.797,315.954353,315.954353,-0.789080,2.954143
18:45:48.797,316.604330,316.604330,-0.403975,0.432545
18:45:49.195,316.653011,316.653011,-0.113684,-1.539940
18:45:50.195,316.075558,316.075558,0.073042,-2.575748
18:45:51.797,315.265867,315.265867,0.163670,-2.000516
18:45:52.195,314.615115,314.615115,0.176103,-0.727761
18:45:53.594,314.430234,314.430234,0.142527,0.567332
18:45:54.594,314.610451,314.610451,0.093551,0.781696
18:45:55.797,314.991284,314.991284,0.050574,0.044579
18:45:56.594,315.346214,315.346214,0.022362,-1.769789
18:45:57.398,315.634583,315.634583,0.007705,-3.816843
18:45:58.797,315.803849,315.803849,0.001691,-5.507337
18:45:59.195,315.814115,315.814115,-0.002049,-6.155949
18:46:00.797,315.609069,315.609069,-0.008746,-5.682998
18:46:01.797,315.310233,315.310233,-0.024410,-4.194734
18:46:02.797,315.013668,315.013668,-0.054707,-2.526948
18:46:03.398,314.781860,314.781860,-0.100318,-1.171225
18:46:04.594,314.556856,314.556856,-0.152271,-0.414221
18:46:05.797,314.337920,314.337920,-0.187241,-0.000094
18:46:06.594,314.074897,314.074897,-0.171418,-0.000587
18:46:07.797,313.764827,313.764827,-0.068675,-0.234484
18:46:08.195,313.438034,313.438034,0.144718,-0.410672
