totsec,z_fdr,ROC_fpm,groundspeed_kts,true_course_deg,hdg_deg_T,hdg_mag,TAS_kts,CAS_kts,bank_deg
19:02:00.195,2987.8,-1926.3,78.457,145.44,143.58,154.91,78.143,71.843,3.443
19:02:01.594,2949.9,-1325.4,79.664,147.94,146.47,157.8,78.033,71.774,9.0308
19:02:02.398,2934.5,-1062.3,79.923,150.38,149.14,160.47,77.804,71.576,12.702
19:02:03.594,2916,-883.97,80.12,155.35,154.47,165.8,77.594,71.399,18.389
19:02:04.195,2907.3,-880.84,80.399,158.28,157.64,168.97,77.763,71.562,22.027
19:02:05.594,2885.8,-1030.3,81.04,167.56,167.54,178.87,78.298,72.072,27.993
19:02:06.398,2871.2,-1094.9,81.524,173.15,173.32,184.65,78.737,72.489,26.227
19:02:07.797,2845.5,-988.45,81.947,181.32,181.59,192.92,78.897,72.659,18.795
19:02:08.594,2833.2,-846.67,81.477,184.78,185.07,196.4,78.239,72.063,15.229
19:02:09.398,2822.9,-679.83,80.728,187.72,188.13,199.46,77.319,71.225,14.3
19:02:10.195,2815,-533.74,80.391,190.83,191.38,202.71,76.863,70.81,15.024
19:02:11.398,2806.1,-554.46,80.187,195.32,196,207.33,76.678,70.648,15.764
19:02:12.000,2800,-650.77,80.194,197.46,198.21,209.54,76.77,70.737,15.888
19:02:13.594,2779.7,-925.67,81.377,203.02,203.86,215.19,78.273,72.139,12.45
19:02:14.398,2766.2,-1017.4,82.348,204.96,205.76,217.09,79.375,73.167,8.8285
19:02:15.594,2745.6,-929.11,83.516,206.74,207.49,218.82,80.462,74.186,5.0224
19:02:16.195,2736.8,-817.96,84.108,207.42,208.14,219.47,80.945,74.64,3.7208
19:02:17.797,2719.3,-351.44,84.882,208.17,208.81,220.14,81.406,75.081,1.2073
19:02:18.195,2717.4,-232.25,84.798,208.28,208.92,220.25,81.283,74.969,1.3405
19:02:19.594,2715.5,-84.974,84.398,209.08,209.83,221.16,80.868,74.588,3.5912
19:02:20.195,2714.7,-66.458,83.925,209.65,210.42,221.75,80.404,74.16,3.7975
19:02:21.195,2714.1,-140.05,82.686,210.34,211.11,222.44,79.186,73.037,2.4656
19:02:22.797,2705.8,-535.52,80.76,210.69,211.55,222.88,77.438,71.432,5.4789
19:02:23.797,2694.5,-832.53,79.791,212.35,213.45,224.78,76.763,70.819,10.673
19:02:24.195,2688.6,-935.01,79.549,213.31,214.52,225.85,76.659,70.727,12.327
19:02:25.195,2671.3,-1149.7,79.176,216.36,217.88,229.21,76.649,70.732,16.533
19:02:26.797,2635.8,-1490.5,80.137,223.5,225.5,236.83,78.37,72.349,21.835
19:02:27.195,2625.6,-1541.2,80.331,225.56,227.7,239.03,78.725,72.685,22.564
19:02:28.797,2583.2,-1517.8,81.265,235.13,237.66,248.99,79.96,73.86,21.396
19:02:29.594,2563.5,-1388.7,82.193,239.44,242,253.33,80.832,74.682,18.968
19:02:30.594,2542.4,-1135,83.295,244.16,246.71,258.04,81.756,75.553,16.613
19:02:31.594,2525.7,-873.61,84.057,248.42,251.02,262.35,82.41,76.171,16.722
19:02:32.398,2515.4,-727.16,83.641,252.02,254.72,266.05,82.041,75.839,17.717
19:02:33.398,2504.2,-611,82.587,256.53,259.25,270.58,81.14,75.015,15.482
19:02:34.195,2496.7,-545.77,82.091,259.12,261.73,273.06,80.743,74.654,11.482
19:02:35.797,2483,-572.16,81.562,261.91,264.41,275.74,80.39,74.34,7.2777
19:02:36.594,2475,-587.85,81.291,263.23,265.79,277.12,80.207,74.177,8.042
19:02:37.797,2463.7,-587.57,80.937,265.89,268.53,279.86,80.007,74.001,9.4805
19:02:38.398,2457.7,-628.56,80.838,267.2,269.85,281.18,80.014,74.012,9.5805
19:02:39.195,2448.8,-714.82,80.771,268.92,271.59,282.92,80.119,74.116,9.7583
19:02:40.398,2433.1,-856.06,80.71,271.6,274.34,285.67,80.348,74.342,11.069
19:02:41.797,2411.2,-900.27,80.287,275.66,278.61,289.94,80.213,74.235,14.656
19:02:42.594,2399.5,-840.14,79.88,278.86,281.91,293.24,79.944,73.994,15.782
19:02:43.797,2383.8,-721.07,79.176,283.69,286.65,297.98,79.448,73.547,12.88
19:02:44.594,2374.8,-630.08,78.217,285.94,288.85,300.18,78.568,72.739,10.957
19:02:45.797,2363.7,-589.11,76.662,289.17,292.14,303.47,77.197,71.478,12.685
19:02:46.594,2355.6,-654.7,75.844,291.86,294.89,306.22,76.604,70.934,14.473
19:02:47.195,2348.7,-717.32,75.282,294.01,297.05,308.38,76.234,70.596,14.898
19:02:48.398,2333.1,-849.29,75.679,298.41,301.33,312.66,77.03,71.344,14.394
19:02:49.398,2317.9,-952,77.101,301.83,304.6,315.93,78.764,72.961,13.71
19:02:50.594,2297.9,-945.28,80.55,305.94,308.48,319.81,82.42,76.362,13.296
19:02:51.398,2285.8,-865.51,84.076,308.71,311.05,322.38,85.993,79.682,12.991
