time,groundspeed
2022-07-17T18:45:01.797,74.7
2022-07-17T18:45:02.195,73.5
2022-07-17T18:45:03.398,73.1
2022-07-17T18:45:04.594,72.8
2022-07-17T18:45:05.594,73.3
2022-07-17T18:45:06.195,73.1
2022-07-17T18:45:07.398,74.1
2022-07-17T18:45:08.195,74.1
2022-07-17T18:45:09.398,73.2
2022-07-17T18:45:10.398,72.6
2022-07-17T18:45:11.797,71.6
2022-07-17T18:45:12.594,72.7
2022-07-17T18:45:13.195,71.2
2022-07-17T18:45:14.594,72.5
2022-07-17T18:45:15.195,70.5
2022-07-17T18:45:16.195,70.0
2022-07-17T18:45:17.797,68.7
2022-07-17T18:45:18.594,69.0
2022-07-17T18:45:19.195,68.9
2022-07-17T18:45:20.594,68.3
2022-07-17T18:45:21.797,68.2
2022-07-17T18:45:22.398,67.3
2022-07-17T18:45:23.594,67.7
2022-07-17T18:45:24.398,66.7
2022-07-17T18:45:25.797,67.4
2022-07-17T18:45:26.398,66.4
2022-07-17T18:45:27.594,66.3
2022-07-17T18:45:28.594,65.4
2022-07-17T18:45:29.398,63.7
2022-07-17T18:45:30.594,63.8
2022-07-17T18:45:31.594,62.9
2022-07-17T18:45:32.195,64.1
2022-07-17T18:45:33.195,63.4
2022-07-17T18:45:34.594,61.8
2022-07-17T18:45:35.398,61.8
2022-07-17T18:45:36.398,61.4
2022-07-17T18:45:37.398,62.2
2022-07-17T18:45:38.797,60.2
2022-07-17T18:45:39.797,61.0
2022-07-17T18:45:40.398,60.3
2022-07-17T18:45:41.195,61.6
2022-07-17T18:45:42.594,60.7
2022-07-17T18:45:43.797,60.6
2022-07-17T18:45:44.195,60.0
2022-07-17T18:45:45.594,59.1
2022-07-17T18:45:46.398,59.1
2022-07-17T18:45:47.797,58.4
2022-07-17T18:45:48.797,59.0
2022-07-17T18:45:49.195,58.1
2022-07-17T18:45:50.195,57.0
2022-07-17T18:45:51.797,54.3
2022-07-17T18:45:52.195,53.0
2022-07-17T18:45:53.594,51.1
2022-07-17T18:45:54.594,50.2
2022-07-17T18:45:55.797,48.7
2022-07-17T18:45:56.594,48.1
2022-07-17T18:45:57.398,47.1
2022-07-17T18:45:58.797,46.0
2022-07-17T18:45:59.195,45.4
2022-07-17T18:46:00.797,44.8
2022-07-17T18:46:01.797,45.5
2022-07-17T18:46:02.797,44.9
2022-07-17T18:46:03.398,44.9
2022-07-17T18:46:04.594,45.6
2022-07-17T18:46:05.797,48.1
2022-07-17T18:46:06.594,51.2
2022-07-17T18:46:07.797,52.2
2022-07-17T18:46:08.195,54.5
2022-07-17T18:46:09.594,56.9
2022-07-17T18:46:10.797,60.4
2022-07-17T18:46:11.594,62.9
2022-07-17T18:46:12.398,63.9
2022-07-17T18:46:13.398,66.0
2022-07-17T18:46:14.594,66.5
2022-07-17T18:46:15.594,68.4
2022-07-17T18:46:16.398,69.3
2022-07-17T18:46:17.594,69.6
2022-07-17T18:46:18.195,71.5
2022-07-17T18:46:19.398,72.5
2022-07-17T18:46:20.195,74.1
2022-07-17T18:46:21.195,74.6
2022-07-17T18:46:22.797,76.0
2022-07-17T18:46:24.594,77.0
2022-07-17T18:46:25.398,78.3
2022-07-17T18:46:26.594,78.7
2022-07-17T18:46:27.195,79.0
2022-07-17T18:46:29.398,77.7
2022-07-17T18:46:30.398,77.1
2022-07-17T18:46:31.195,76.7
2022-07-17T18:46:32.594,77.3
2022-07-17T18:46:33.797,78.4
2022-07-17T18:46:34.195,79.3
2022-07-17T18:46:35.398,77.7
2022-07-17T18:46:36.594,77.2
2022-07-17T18:46:37.195,77.0
2022-07-17T18:46:38.594,78.8
2022-07-17T18:46:39.195,78.4
2022-07-17T18:46:40.398,78.7
2022-07-17T18:46:41.797,77.7
2022-07-17T18:46:42.797,78.3
2022-07-17T18:46:44.195,77.6
2022-07-17T18:46:45.398,76.8
2022-07-17T18:46:46.398,75.9
2022-07-17T18:46:47.398,75.1
2022-07-17T18:46:48.398,75.0
2022-07-17T18:46:49.594,74.4
2022-07-17T18:46:50.195,73.6
2022-07-17T18:46:51.398,73.9
2022-07-17T18:46:52.195,72.5
2022-07-17T18:46:53.398,74.5
2022-07-17T18:46:54.398,73.3
2022-07-17T18:46:55.594,75.7
2022-07-17T18:46:56.195,74.7
2022-07-17T18:46:58.594,75.5
2022-07-17T18:46:59.398,74.2
2022-07-17T18:47:00.594,75.1
2022-07-17T18:47:01.797,75.4
2022-07-17T18:47:02.797,75.3
2022-07-17T18:47:03.797,75.7
2022-07-17T18:47:04.398,76.9
2022-07-17T18:47:05.195,77.9
2022-07-17T18:47:07.797,79.0
2022-07-17T18:47:08.594,79.3
2022-07-17T18:47:09.398,80.7
2022-07-17T18:47:10.594,80.6
2022-07-17T18:47:24.797,81.1
2022-07-17T18:47:25.195,83.8
2022-07-17T18:47:26.398,85.1
2022-07-17T18:47:27.797,90.5
2022-07-17T18:47:28.195,90.4
2022-07-17T18:47:29.797,91.5
2022-07-17T18:47:31.594,89.4
2022-07-17T18:47:32.797,89.9
2022-07-17T18:47:33.797,89.5
2022-07-17T18:47:34.398,88.6
2022-07-17T18:47:36.195,88.6
2022-07-17T18:47:37.195,88.9
2022-07-17T18:47:38.398,89.0
2022-07-17T18:47:39.195,88.6
2022-07-17T18:47:40.594,89.2
2022-07-17T18:47:41.594,90.0
2022-07-17T18:47:42.594,91.3
2022-07-17T18:47:43.195,91.8
2022-07-17T18:47:44.797,93.3
2022-07-17T18:47:46.000,94.7
2022-07-17T18:47:47.195,96.7
2022-07-17T18:47:48.594,99.1
2022-07-17T18:47:49.195,99.7
2022-07-17T18:47:50.398,101.2
2022-07-17T18:47:51.797,99.1
2022-07-17T18:47:52.195,100.9
2022-07-17T18:47:53.398,100.1
2022-07-17T18:47:54.398,102.6
2022-07-17T18:47:55.594,100.8
2022-07-17T18:47:56.195,99.8
2022-07-17T18:47:57.797,100.3
2022-07-17T18:47:58.195,99.5
2022-07-17T18:47:59.195,99.4
2022-07-17T18:48:00.195,96.3
2022-07-17T18:48:01.398,97.4
2022-07-17T18:48:02.398,97.2
2022-07-17T18:48:03.195,99.0
2022-07-17T18:48:04.797,95.6
2022-07-17T18:48:05.195,96.5
2022-07-17T18:48:06.594,94.7
2022-07-17T18:48:07.797,96.7
2022-07-17T18:48:08.195,97.3
2022-07-17T18:48:09.594,97.0
2022-07-17T18:48:10.594,97.7
2022-07-17T18:48:12.398,96.9
2022-07-17T18:48:13.594,98.6
2022-07-17T18:48:14.195,99.2
2022-07-17T18:48:15.797,99.7
2022-07-17T18:48:16.797,100.0
2022-07-17T18:48:17.594,100.2
2022-07-17T18:48:18.594,101.1
2022-07-17T18:48:19.594,98.8
2022-07-17T18:48:20.195,99.1
2022-07-17T18:48:21.797,97.4
2022-07-17T18:48:22.398,98.2
2022-07-17T18:48:23.195,97.4
2022-07-17T18:48:24.594,96.4
2022-07-17T18:48:25.594,97.2
2022-07-17T18:48:26.398,95.5
2022-07-17T18:48:27.594,95.1
