time,groundspeed
2022-07-17T19:00:07.125,128.5
2022-07-17T19:00:08.091,129.8
2022-07-17T19:00:09.273,132.1
2022-07-17T19:00:10.282,124.9
2022-07-17T19:00:11.224,127.1
2022-07-17T19:00:12.369,120.0
2022-07-17T19:00:13.585,131.8
2022-07-17T19:00:14.491,137.6
2022-07-17T19:00:15.341,142.8
2022-07-17T19:00:16.417,136.0
2022-07-17T19:00:17.478,131.4
2022-07-17T19:00:18.423,136.2
2022-07-17T19:00:19.391,140.3
2022-07-17T19:00:20.363,131.0
2022-07-17T19:00:21.532,131.4
2022-07-17T19:00:22.494,129.1
2022-07-17T19:00:23.498,137.4
2022-07-17T19:00:25.397,133.2
2022-07-17T19:00:26.439,138.2
2022-07-17T19:00:27.334,133.2
2022-07-17T19:00:28.386,137.9
2022-07-17T19:00:29.504,131.1
2022-07-17T19:00:30.532,135.3
2022-07-17T19:00:31.491,132.1
2022-07-17T19:00:32.484,134.3
2022-07-17T19:00:33.444,127.2
2022-07-17T19:00:34.574,133.3
2022-07-17T19:00:35.435,129.1
2022-07-17T19:00:36.515,133.9
2022-07-17T19:00:37.510,125.7
2022-07-17T19:00:38.530,130.1
2022-07-17T19:00:39.496,131.6
2022-07-17T19:00:40.451,130.7
2022-07-17T19:00:41.493,125.1
2022-07-17T19:00:42.561,122.7
2022-07-17T19:00:43.551,125.5
2022-07-17T19:00:44.498,126.5
2022-07-17T19:00:45.525,123.5
2022-07-17T19:00:46.548,122.3
2022-07-17T19:00:47.489,118.3
2022-07-17T19:00:48.601,121.5
2022-07-17T19:00:50.479,117.6
2022-07-17T19:00:51.502,120.4
2022-07-17T19:00:52.536,116.0
2022-07-17T19:00:53.565,116.4
2022-07-17T19:00:54.563,115.3
2022-07-17T19:00:56.637,118.9
2022-07-17T19:00:58.492,117.1
2022-07-17T19:00:59.517,117.2
2022-07-17T19:01:00.548,112.6
2022-07-17T19:01:01.551,111.3
2022-07-17T19:01:02.609,112.6
2022-07-17T19:01:04.536,112.0
2022-07-17T19:01:05.540,112.3
2022-07-17T19:01:06.580,109.6
2022-07-17T19:01:07.618,110.5
2022-07-17T19:01:08.620,112.0
2022-07-17T19:01:10.589,114.3
2022-07-17T19:01:12.510,114.0
2022-07-17T19:01:13.495,112.8
2022-07-17T19:01:14.502,109.5
2022-07-17T19:01:15.531,107.0
2022-07-17T19:01:16.574,109.1
2022-07-17T19:01:17.518,108.5
2022-07-17T19:01:18.554,111.9
2022-07-17T19:01:19.514,109.8
2022-07-17T19:01:20.495,105.8
2022-07-17T19:01:21.681,104.3
2022-07-17T19:01:22.636,104.2
2022-07-17T19:01:23.610,107.4
2022-07-17T19:01:24.644,106.3
2022-07-17T19:01:26.627,105.5
2022-07-17T19:01:27.616,106.1
2022-07-17T19:01:28.634,104.4
2022-07-17T19:01:29.663,105.0
2022-07-17T19:01:30.634,103.2
2022-07-17T19:01:31.701,106.2
2022-07-17T19:01:33.611,104.9
2022-07-17T19:01:34.609,108.1
2022-07-17T19:01:35.587,101.2
2022-07-17T19:01:36.742,105.2
2022-07-17T19:01:37.625,109.3
2022-07-17T19:01:38.660,111.5
2022-07-17T19:01:40.586,103.7
