time,groundspeed
2022-07-17T18:46:51.510,77
2022-07-17T18:46:52.471,77
2022-07-17T18:46:53.832,78
2022-07-17T18:46:54.643,78
2022-07-17T18:46:55.794,79
2022-07-17T18:46:57.196,81
2022-07-17T18:46:57.797,82
2022-07-17T18:46:58.558,82
2022-07-17T18:46:59.970,83
2022-07-17T18:47:00.481,82
2022-07-17T18:47:02.093,83
2022-07-17T18:47:02.853,83
2022-07-17T18:47:03.564,83
2022-07-17T18:47:04.926,83
2022-07-17T18:47:05.728,83
2022-07-17T18:47:07.083,83
2022-07-17T18:47:07.995,83
2022-07-17T18:47:08.806,83
2022-07-17T18:47:09.918,84
2022-07-17T18:47:10.529,84
2022-07-17T18:47:11.380,84
2022-07-17T18:47:12.542,84
2022-07-17T18:47:13.904,85
2022-07-17T18:47:14.905,85
2022-07-17T18:47:15.773,85
2022-07-17T18:47:16.929,86
2022-07-17T18:47:18.041,86
2022-07-17T18:47:18.794,86
2022-07-17T18:47:19.705,87
2022-07-17T18:47:21.016,88
2022-07-17T18:47:22.129,88
2022-07-17T18:47:22.489,88
2022-07-17T18:47:23.751,89
2022-07-17T18:47:24.512,91
2022-07-17T18:47:25.923,91
2022-07-17T18:47:26.534,91
2022-07-17T18:47:28.136,92
2022-07-17T18:47:28.947,92
2022-07-17T18:47:30.160,92
2022-07-17T18:47:30.721,93
2022-07-17T18:47:32.894,92
2022-07-17T18:47:34.048,92
2022-07-17T18:47:34.911,92
2022-07-17T18:47:36.069,92
2022-07-17T18:47:38.243,92
2022-07-17T18:47:38.544,92
2022-07-17T18:47:41.869,92
2022-07-17T18:47:44.693,90
2022-07-17T18:47:45.654,90
2022-07-17T18:47:46.565,90
2022-07-17T18:47:47.926,89
2022-07-17T18:47:48.537,89
2022-07-17T18:47:49.600,89
2022-07-17T18:47:51.153,89
2022-07-17T18:47:51.663,89
2022-07-17T18:47:53.025,90
2022-07-17T18:47:53.735,90
2022-07-17T18:47:54.686,90
2022-07-17T18:47:55.748,90
2022-07-17T18:47:57.472,90
2022-07-17T18:47:58.677,90
2022-07-17T18:48:00.091,90
2022-07-17T18:48:00.502,90
2022-07-17T18:48:01.915,90
2022-07-17T18:48:03.067,89
2022-07-17T18:48:03.678,89
2022-07-17T18:48:04.439,89
2022-07-17T18:48:05.851,87
2022-07-17T18:48:07.222,87
2022-07-17T18:48:07.773,87
2022-07-17T18:48:08.843,86
2022-07-17T18:48:10.699,86
2022-07-17T18:48:11.710,85
2022-07-17T18:48:14.683,85
2022-07-17T18:48:16.096,84
2022-07-17T18:48:16.658,83
2022-07-17T18:48:17.970,83
2022-07-17T18:48:18.881,82
2022-07-17T18:48:19.882,82
2022-07-17T18:48:20.943,82
2022-07-17T18:48:22.104,82
2022-07-17T18:48:22.616,83
2022-07-17T18:48:23.678,84
2022-07-17T18:48:24.791,84
2022-07-17T18:48:25.952,85
2022-07-17T18:48:26.653,86
2022-07-17T18:48:27.564,86
2022-07-17T18:48:28.675,86
2022-07-17T18:48:29.938,87
2022-07-17T18:48:30.850,86
2022-07-17T18:48:31.962,87
2022-07-17T18:48:33.023,86
2022-07-17T18:48:33.533,86
2022-07-17T18:48:34.995,86
2022-07-17T18:48:35.897,86
2022-07-17T18:48:36.508,86
2022-07-17T18:48:37.620,85
2022-07-17T18:48:39.083,84
2022-07-17T18:48:39.544,84
2022-07-17T18:48:40.798,85
2022-07-17T18:48:41.659,84
2022-07-17T18:48:42.520,84
2022-07-17T18:48:43.983,85
2022-07-17T18:48:45.454,84
2022-07-17T18:48:46.467,84
2022-07-17T18:48:47.970,85
2022-07-17T18:48:48.762,85
2022-07-17T18:48:49.823,85
2022-07-17T18:48:51.034,85
2022-07-17T18:48:51.895,85
2022-07-17T18:48:53.108,85
2022-07-17T18:48:54.229,86
2022-07-17T18:48:54.980,87
2022-07-17T18:48:55.440,87
2022-07-17T18:48:56.602,87
2022-07-17T18:48:57.656,87
2022-07-17T18:48:58.869,88
2022-07-17T18:49:00.082,88
2022-07-17T18:49:00.884,88
2022-07-17T18:49:01.748,88
2022-07-17T18:49:02.660,88
2022-07-17T18:49:04.172,86
2022-07-17T18:49:04.633,87
2022-07-17T18:49:06.145,90
2022-07-17T18:49:07.096,90
2022-07-17T18:49:07.708,90
2022-07-17T18:49:08.469,89
2022-07-17T18:49:10.130,89
2022-07-17T18:49:11.251,89
2022-07-17T18:49:11.702,89
2022-07-17T18:49:12.813,89
2022-07-17T18:49:14.074,89
2022-07-17T18:49:15.135,92
2022-07-17T18:49:15.696,91
2022-07-17T18:49:16.958,91
2022-07-17T18:49:17.619,90
2022-07-17T18:49:18.530,90
2022-07-17T18:49:20.243,91
2022-07-17T18:49:21.093,91
2022-07-17T18:49:21.854,91
2022-07-17T18:49:22.865,91
2022-07-17T18:49:23.576,91
2022-07-17T18:49:24.939,91
2022-07-17T18:49:26.100,91
2022-07-17T18:49:26.711,91
2022-07-17T18:49:27.862,91
2022-07-17T18:49:28.673,90
2022-07-17T18:49:30.035,90
2022-07-17T18:49:30.796,90
2022-07-17T18:49:31.559,90
2022-07-17T18:49:33.180,90
2022-07-17T18:49:33.931,90
2022-07-17T18:49:34.842,90
2022-07-17T18:49:36.047,91
2022-07-17T18:49:36.808,91
2022-07-17T18:49:37.670,91
2022-07-17T18:49:38.480,91
2022-07-17T18:49:39.391,91
2022-07-17T18:49:40.553,92
2022-07-17T18:49:41.907,92
2022-07-17T18:49:42.669,92
2022-07-17T18:49:43.832,92
2022-07-17T18:49:44.993,92
2022-07-17T18:49:46.097,93
2022-07-17T18:49:47.062,93
2022-07-17T18:49:47.775,93
2022-07-17T18:49:48.686,93
2022-07-17T18:49:49.689,93
2022-07-17T18:49:51.000,93
2022-07-17T18:49:51.511,93
2022-07-17T18:49:52.823,92
2022-07-17T18:49:53.433,92
2022-07-17T18:49:54.946,92
2022-07-17T18:49:55.958,92
2022-07-17T18:49:56.418,92
2022-07-17T18:49:58.023,91
2022-07-17T18:49:58.834,92
2022-07-17T18:49:59.847,92
2022-07-17T18:50:01.110,92
2022-07-17T18:50:02.070,92
2022-07-17T18:50:02.731,93
2022-07-17T18:50:03.592,93
2022-07-17T18:50:04.994,93
2022-07-17T18:50:06.007,93
2022-07-17T18:50:07.069,93
2022-07-17T18:50:08.493,93
2022-07-17T18:50:09.699,93
2022-07-17T18:50:10.915,93
2022-07-17T18:50:12.179,94
2022-07-17T18:50:12.729,94
2022-07-17T18:50:13.542,94
2022-07-17T18:50:14.753,94
2022-07-17T18:50:16.015,94
2022-07-17T18:50:16.819,94
2022-07-17T18:50:17.830,94
2022-07-17T18:50:18.642,94
2022-07-17T18:50:19.453,94
2022-07-17T18:50:21.017,95
2022-07-17T18:50:21.477,95
2022-07-17T18:50:22.839,95
2022-07-17T18:50:24.041,95
2022-07-17T18:50:24.852,96
2022-07-17T18:50:25.913,96
2022-07-17T18:50:26.664,96
2022-07-17T18:50:28.076,96
2022-07-17T18:50:28.587,96
2022-07-17T18:50:30.099,96
2022-07-17T18:50:30.809,96
2022-07-17T18:50:32.983,96
2022-07-17T18:50:33.833,97
2022-07-17T18:50:34.985,96
2022-07-17T18:50:36.047,97
2022-07-17T18:50:36.708,97
2022-07-17T18:50:37.820,97
2022-07-17T18:50:38.682,97
2022-07-17T18:50:39.633,97
2022-07-17T18:50:41.095,97
2022-07-17T18:50:42.859,97
2022-07-17T18:50:43.722,97
2022-07-17T18:50:44.985,97
2022-07-17T18:50:45.687,97
2022-07-17T18:50:46.549,97
2022-07-17T18:50:47.662,97
2022-07-17T18:50:48.723,97
2022-07-17T18:50:50.036,97
2022-07-17T18:50:50.647,97
2022-07-17T18:50:51.999,98
2022-07-17T18:50:52.610,98
2022-07-17T18:50:53.771,98
2022-07-17T18:50:54.983,98
2022-07-17T18:50:55.493,98
2022-07-17T18:50:57.107,98
2022-07-17T18:50:57.417,98
2022-07-17T18:50:58.678,98
2022-07-17T18:50:59.639,98
2022-07-17T18:51:02.155,98
2022-07-17T18:51:02.617,98
2022-07-17T18:51:03.578,98
2022-07-17T18:51:04.929,98
2022-07-17T18:51:05.890,98
2022-07-17T18:51:06.901,98
2022-07-17T18:51:07.412,98
2022-07-17T18:51:08.774,98
2022-07-17T18:51:09.776,98
2022-07-17T18:51:11.138,99
2022-07-17T18:51:12.099,99
2022-07-17T18:51:12.660,99
2022-07-17T18:51:13.671,99
2022-07-17T18:51:14.983,100
2022-07-17T18:51:15.794,100
2022-07-17T18:51:16.505,100
2022-07-17T18:51:18.118,100
2022-07-17T18:51:18.628,100
2022-07-17T18:51:19.621,101
2022-07-17T18:51:20.532,101
2022-07-17T18:51:22.144,101
2022-07-17T18:51:23.005,101
2022-07-17T18:51:23.466,101
2022-07-17T18:51:24.578,101
2022-07-17T18:51:25.789,101
2022-07-17T18:51:26.650,101
2022-07-17T18:51:27.511,101
2022-07-17T18:51:28.552,101
2022-07-17T18:51:29.414,101
2022-07-17T18:51:30.877,101
