time,groundspeed
2022-07-17T18:46:42.859,37.7
2022-07-17T18:46:43.594,36.2
2022-07-17T18:46:43.820,43.2
2022-07-17T18:46:44.398,39.8
2022-07-17T18:46:44.852,46.5
2022-07-17T18:46:45.594,41.0
2022-07-17T18:46:45.875,49.7
2022-07-17T18:46:46.797,64.1
2022-07-17T18:46:46.844,74.3
2022-07-17T18:46:47.195,68.2
2022-07-17T18:46:47.766,57.6
2022-07-17T18:46:48.594,61.9
2022-07-17T18:46:48.672,69.3
2022-07-17T18:46:49.195,62.8
2022-07-17T18:46:49.656,59.6
2022-07-17T18:46:50.844,63.3
2022-07-17T18:46:51.797,66.5
2022-07-17T18:46:51.867,66.7
2022-07-17T18:46:52.891,69.1
2022-07-17T18:46:53.398,71.3
2022-07-17T18:46:53.875,75.8
2022-07-17T18:46:54.797,71.3
2022-07-17T18:46:55.320,82.9
2022-07-17T18:46:55.594,79.6
2022-07-17T18:46:56.391,92.6
2022-07-17T18:46:56.797,85.4
2022-07-17T18:46:57.344,90.4
2022-07-17T18:46:58.352,84.2
2022-07-17T18:46:58.797,88.6
2022-07-17T18:46:59.328,92.7
2022-07-17T18:46:59.797,90.9
2022-07-17T18:47:00.195,78.4
2022-07-17T18:47:00.289,76.9
2022-07-17T18:47:01.148,80.1
2022-07-17T18:47:02.078,99.1
2022-07-17T18:47:02.594,91.8
2022-07-17T18:47:02.969,95.0
2022-07-17T18:47:03.594,85.7
2022-07-17T18:47:04.070,95.2
2022-07-17T18:47:05.078,97.9
2022-07-17T18:47:05.594,102.8
2022-07-17T18:47:06.000,101.6
2022-07-17T18:47:06.398,97.6
2022-07-17T18:47:07.195,95.1
2022-07-17T18:47:08.477,131.4
2022-07-17T18:47:08.594,127.5
2022-07-17T18:47:09.422,140.9
2022-07-17T18:47:09.797,100.1
2022-07-17T18:47:10.336,148.4
2022-07-17T18:47:10.398,139.3
2022-07-17T18:47:24.398,138.9
2022-07-17T18:47:24.617,98.1
2022-07-17T18:47:25.195,98.2
2022-07-17T18:47:25.617,104.8
2022-07-17T18:47:26.570,232.6
2022-07-17T18:47:26.594,229.8
2022-07-17T18:47:27.570,248.0
2022-07-17T18:47:27.797,116.9
2022-07-17T18:47:28.398,120.6
2022-07-17T18:47:29.516,110.3
2022-07-17T18:47:29.797,106.5
2022-07-17T18:47:30.484,111.4
2022-07-17T18:47:31.398,97.4
2022-07-17T18:47:31.469,106.2
2022-07-17T18:47:32.195,103.9
2022-07-17T18:47:32.500,112.6
2022-07-17T18:47:33.539,107.3
2022-07-17T18:47:33.797,107.9
2022-07-17T18:47:34.398,89.5
2022-07-17T18:47:34.563,96.9
2022-07-17T18:47:35.398,87.7
2022-07-17T18:47:35.539,109.1
2022-07-17T18:47:36.594,107.0
2022-07-17T18:47:36.672,121.9
2022-07-17T18:47:37.195,116.1
2022-07-17T18:47:37.727,115.3
2022-07-17T18:47:38.836,113.0
2022-07-17T18:47:39.594,121.1
2022-07-17T18:47:39.914,119.7
2022-07-17T18:47:40.398,115.3
2022-07-17T18:47:41.070,125.5
2022-07-17T18:47:41.195,125.4
2022-07-17T18:47:42.063,145.4
2022-07-17T18:47:42.195,131.7
2022-07-17T18:47:43.047,137.9
2022-07-17T18:47:43.594,119.4
2022-07-17T18:47:43.961,122.8
2022-07-17T18:47:44.398,120.1
2022-07-17T18:47:45.008,120.8
2022-07-17T18:47:45.398,122.1
2022-07-17T18:47:46.008,119.9
2022-07-17T18:47:46.594,114.5
2022-07-17T18:47:46.836,111.4
2022-07-17T18:47:47.859,115.4
2022-07-17T18:47:48.797,131.0
2022-07-17T18:47:49.016,130.7
2022-07-17T18:47:49.797,121.4
2022-07-17T18:47:50.039,118.5
2022-07-17T18:47:50.594,102.6
2022-07-17T18:47:50.891,126.4
2022-07-17T18:47:51.195,122.2
2022-07-17T18:47:51.820,139.9
2022-07-17T18:47:52.398,115.8
2022-07-17T18:47:52.664,118.9
2022-07-17T18:47:53.594,115.6
2022-07-17T18:47:53.750,125.4
2022-07-17T18:47:54.398,125.3
2022-07-17T18:47:54.703,130.0
2022-07-17T18:47:55.195,127.3
2022-07-17T18:47:55.641,125.5
2022-07-17T18:47:56.398,131.4
2022-07-17T18:47:56.602,133.3
2022-07-17T18:47:57.398,113.7
2022-07-17T18:47:57.570,113.5
2022-07-17T18:47:58.195,112.1
2022-07-17T18:47:58.609,131.0
2022-07-17T18:47:59.586,448.1
2022-07-17T18:47:59.594,450.6
2022-07-17T18:48:00.195,453.7
2022-07-17T18:48:00.695,128.7
2022-07-17T18:48:01.773,252.8
2022-07-17T18:48:01.797,250.0
2022-07-17T18:48:02.398,259.3
2022-07-17T18:48:02.797,133.4
2022-07-17T18:48:03.398,138.1
2022-07-17T18:48:03.828,129.6
2022-07-17T18:48:04.195,101.7
2022-07-17T18:48:04.289,101.2
2022-07-17T18:48:05.383,327.9
2022-07-17T18:48:05.398,358.6
2022-07-17T18:48:06.195,350.3
2022-07-17T18:48:06.695,135.4
2022-07-17T18:48:07.211,128.3
2022-07-17T18:48:07.398,136.0
2022-07-17T18:48:08.305,126.6
2022-07-17T18:48:08.797,134.6
2022-07-17T18:48:09.195,109.3
2022-07-17T18:48:09.289,111.7
2022-07-17T18:48:10.336,113.0
2022-07-17T18:48:10.797,129.9
2022-07-17T18:48:11.266,160.2
2022-07-17T18:48:11.398,155.4
2022-07-17T18:48:12.344,192.8
2022-07-17T18:48:12.398,160.8
2022-07-17T18:48:13.195,138.5
2022-07-17T18:48:13.258,109.4
2022-07-17T18:48:14.195,89.1
2022-07-17T18:48:14.258,116.7
2022-07-17T18:48:15.133,114.6
2022-07-17T18:48:15.797,129.5
2022-07-17T18:48:16.109,127.1
2022-07-17T18:48:16.797,117.6
2022-07-17T18:48:17.172,129.6
2022-07-17T18:48:17.797,128.7
2022-07-17T18:48:18.195,127.3
2022-07-17T18:48:18.234,120.8
2022-07-17T18:48:19.211,119.6
2022-07-17T18:48:20.234,138.4
2022-07-17T18:48:20.594,138.2
2022-07-17T18:48:21.195,135.6
2022-07-17T18:48:21.398,129.8
2022-07-17T18:48:22.195,245.3
2022-07-17T18:48:22.203,251.7
2022-07-17T18:48:23.195,230.7
2022-07-17T18:48:23.391,120.0
2022-07-17T18:48:24.438,116.4
2022-07-17T18:48:24.797,134.6
2022-07-17T18:48:25.445,136.9
2022-07-17T18:48:25.797,138.5
2022-07-17T18:48:26.453,141.4
2022-07-17T18:48:26.594,132.7
2022-07-17T18:48:27.461,142.2
2022-07-17T18:48:27.797,137.3
2022-07-17T18:48:28.578,327.1
2022-07-17T18:48:28.594,318.8
2022-07-17T18:48:29.398,298.2
2022-07-17T18:48:29.461,115.1
2022-07-17T18:48:30.539,114.8
2022-07-17T18:48:30.797,140.3
2022-07-17T18:48:31.594,112.5
2022-07-17T18:48:31.664,117.5
2022-07-17T18:48:32.195,113.1
2022-07-17T18:48:32.672,137.5
2022-07-17T18:48:33.492,138.6
2022-07-17T18:48:33.797,143.9
2022-07-17T18:48:34.195,135.2
2022-07-17T18:48:34.539,131.5
2022-07-17T18:48:35.547,138.1
2022-07-17T18:48:35.594,144.7
2022-07-17T18:48:36.531,147.2
2022-07-17T18:48:36.797,138.3
2022-07-17T18:48:37.398,157.4
2022-07-17T18:48:37.422,149.3
2022-07-17T18:48:38.484,197.0
2022-07-17T18:48:38.594,177.8
2022-07-17T18:48:39.398,174.2
2022-07-17T18:48:39.641,130.3
2022-07-17T18:48:40.398,112.5
2022-07-17T18:48:40.664,122.8
2022-07-17T18:48:41.594,114.1
2022-07-17T18:48:41.625,131.7
2022-07-17T18:48:42.617,134.5
2022-07-17T18:48:42.797,140.3
2022-07-17T18:48:43.398,138.4
2022-07-17T18:48:44.172,215.8
2022-07-17T18:48:44.195,214.5
2022-07-17T18:48:45.227,218.7
2022-07-17T18:48:45.594,131.0
2022-07-17T18:48:46.141,138.0
2022-07-17T18:48:46.594,135.5
2022-07-17T18:48:47.117,156.6
2022-07-17T18:48:47.195,145.1
2022-07-17T18:48:48.188,793.3
2022-07-17T18:48:48.195,773.3
2022-07-17T18:48:49.352,784.1
2022-07-17T18:48:49.797,135.8
2022-07-17T18:48:50.289,147.7
2022-07-17T18:48:50.398,138.8
2022-07-17T18:48:51.289,175.7
2022-07-17T18:48:51.398,165.3
2022-07-17T18:48:52.313,172.5
2022-07-17T18:48:52.594,129.9
2022-07-17T18:48:53.188,660.2
2022-07-17T18:48:53.195,657.2
2022-07-17T18:48:54.219,659.6
2022-07-17T18:48:55.094,138.2
2022-07-17T18:48:55.594,135.0
2022-07-17T18:48:56.055,140.1
2022-07-17T18:48:56.398,132.1
2022-07-17T18:48:57.141,139.3
2022-07-17T18:48:57.398,138.5
2022-07-17T18:48:58.141,148.1
2022-07-17T18:48:58.195,141.4
2022-07-17T18:48:59.172,146.6
2022-07-17T18:48:59.797,136.0
2022-07-17T18:49:00.266,145.2
2022-07-17T18:49:00.398,140.5
2022-07-17T18:49:01.195,148.5
2022-07-17T18:49:01.336,140.3
2022-07-17T18:49:02.156,144.0
2022-07-17T18:49:02.594,132.1
2022-07-17T18:49:03.258,143.2
2022-07-17T18:49:03.594,141.4
2022-07-17T18:49:04.195,147.7
2022-07-17T18:49:04.703,136.2
2022-07-17T18:49:05.195,131.9
2022-07-17T18:49:05.742,134.0
2022-07-17T18:49:06.594,113.6
2022-07-17T18:49:06.680,123.8
2022-07-17T18:49:07.195,115.7
2022-07-17T18:49:07.758,137.4
2022-07-17T18:49:08.781,407.6
2022-07-17T18:49:08.797,411.4
2022-07-17T18:49:09.398,413.1
2022-07-17T18:49:10.195,116.8
2022-07-17T18:49:10.344,122.1
2022-07-17T18:49:11.195,126.9
2022-07-17T18:49:11.328,144.7
2022-07-17T18:49:12.594,132.4
2022-07-17T18:49:12.859,130.3
2022-07-17T18:49:13.195,135.0
2022-07-17T18:49:13.906,140.6
2022-07-17T18:49:14.594,124.4
2022-07-17T18:49:14.836,127.0
2022-07-17T18:49:15.398,132.4
2022-07-17T18:49:15.703,143.2
2022-07-17T18:49:16.594,145.0
2022-07-17T18:49:16.656,144.4
2022-07-17T18:49:17.195,148.6
2022-07-17T18:49:17.602,137.6
2022-07-17T18:49:18.398,105.5
2022-07-17T18:49:18.484,105.7
2022-07-17T18:49:19.594,192.7
2022-07-17T18:49:19.609,223.6
2022-07-17T18:49:20.563,241.1
2022-07-17T18:49:20.594,156.2
2022-07-17T18:49:21.398,161.5
2022-07-17T18:49:21.703,140.5
2022-07-17T18:49:22.398,135.1
2022-07-17T18:49:22.844,134.9
2022-07-17T18:49:23.398,136.1
2022-07-17T18:49:24.414,145.6
2022-07-17T18:49:24.594,136.8
2022-07-17T18:49:25.383,155.4
2022-07-17T18:49:25.594,152.0
2022-07-17T18:49:26.195,152.2
2022-07-17T18:49:26.336,133.2
2022-07-17T18:49:27.359,138.9
2022-07-17T18:49:27.797,143.6
2022-07-17T18:49:28.398,140.2
2022-07-17T18:49:28.445,134.6
2022-07-17T18:49:29.469,158.3
2022-07-17T18:49:29.594,163.0
2022-07-17T18:49:30.195,149.7
2022-07-17T18:49:30.359,128.8
2022-07-17T18:49:31.531,133.7
2022-07-17T18:49:31.594,151.1
2022-07-17T18:49:32.398,145.9
2022-07-17T18:49:33.359,147.5
2022-07-17T18:49:33.797,144.7
2022-07-17T18:49:34.359,164.3
2022-07-17T18:49:34.398,159.8
2022-07-17T18:49:35.297,157.7
2022-07-17T18:49:35.797,140.4
2022-07-17T18:49:36.336,140.2
2022-07-17T18:49:36.797,144.6
2022-07-17T18:49:37.195,125.7
2022-07-17T18:49:37.266,125.1
2022-07-17T18:49:38.336,140.2
2022-07-17T18:49:38.398,156.5
2022-07-17T18:49:39.453,164.7
2022-07-17T18:49:39.797,146.0
2022-07-17T18:49:40.484,154.5
2022-07-17T18:49:40.797,144.6
2022-07-17T18:49:41.195,131.9
2022-07-17T18:49:41.492,129.9
2022-07-17T18:49:42.648,129.1
2022-07-17T18:49:42.797,145.4
2022-07-17T18:49:43.195,136.2
2022-07-17T18:49:43.656,140.6
2022-07-17T18:49:44.398,144.8
2022-07-17T18:49:44.711,148.5
2022-07-17T18:49:45.195,147.8
2022-07-17T18:49:45.734,136.6
2022-07-17T18:49:46.773,295.1
2022-07-17T18:49:46.797,294.6
2022-07-17T18:49:47.594,309.1
2022-07-17T18:49:47.711,150.0
2022-07-17T18:49:48.398,151.2
2022-07-17T18:49:48.805,140.6
2022-07-17T18:49:49.594,120.1
2022-07-17T18:49:49.758,125.8
2022-07-17T18:49:50.195,128.9
2022-07-17T18:49:50.703,147.8
2022-07-17T18:49:51.195,133.6
2022-07-17T18:49:51.688,136.4
2022-07-17T18:49:52.195,139.8
