time,groundspeed
2022-07-17T18:45:01.492,7.6
2022-07-17T18:45:02.414,7.8
2022-07-17T18:45:03.484,7.8
2022-07-17T18:45:05.141,8.7
2022-07-17T18:45:06.102,7.1
2022-07-17T18:45:08.813,4.8
2022-07-17T18:45:11.836,3.6
2022-07-17T18:45:12.906,4.4
2022-07-17T18:45:13.914,5.6
2022-07-17T18:45:14.977,4.6
2022-07-17T18:45:17.156,4.7
2022-07-17T18:45:18.141,4.0
2022-07-17T18:45:19.836,3.9
2022-07-17T18:45:22.406,3.8
2022-07-17T18:45:23.414,3.7
2022-07-17T18:45:25.375,4.9
2022-07-17T18:45:26.375,3.9
2022-07-17T18:45:28.414,4.7
2022-07-17T18:45:29.516,4.8
2022-07-17T18:45:30.461,5.6
2022-07-17T18:45:31.555,4.6
2022-07-17T18:45:34.094,4.3
2022-07-17T18:45:35.172,4.6
2022-07-17T18:45:36.109,4.6
2022-07-17T18:45:38.711,4.0
2022-07-17T18:45:40.391,2.9
2022-07-17T18:45:42.375,4.5
2022-07-17T18:45:43.203,5.2
2022-07-17T18:45:44.250,6.2
2022-07-17T18:45:45.227,5.6
2022-07-17T18:45:46.313,4.6
2022-07-17T18:45:48.570,4.6
2022-07-17T18:45:49.555,5.0
2022-07-17T18:45:50.453,4.8
2022-07-17T18:45:53.492,3.9
2022-07-17T18:45:55.266,2.8
2022-07-17T18:45:57.047,3.6
2022-07-17T18:45:58.461,4.6
2022-07-17T18:45:59.383,5.3
2022-07-17T18:46:00.430,5.9
2022-07-17T18:46:01.445,4.6
2022-07-17T18:46:03.703,3.7
2022-07-17T18:46:05.875,2.1
2022-07-17T18:46:11.375,2.2
2022-07-17T18:46:13.516,2.2
2022-07-17T18:46:15.695,3.7
2022-07-17T18:46:16.695,5.0
2022-07-17T18:46:17.594,5.9
2022-07-17T18:46:18.664,5.9
2022-07-17T18:46:19.672,5.8
2022-07-17T18:46:20.625,4.6
2022-07-17T18:46:23.742,3.1
2022-07-17T18:46:28.695,1.9
2022-07-17T18:46:30.977,3.6
2022-07-17T18:46:31.813,5.1
2022-07-17T18:46:32.813,6.0
2022-07-17T18:46:33.961,4.6
2022-07-17T18:46:36.023,3.2
2022-07-17T18:46:39.516,3.5
2022-07-17T18:46:40.492,2.9
2022-07-17T18:46:45.492,3.4
2022-07-17T18:46:47.336,3.4
2022-07-17T18:46:48.305,4.9
2022-07-17T18:46:49.344,4.3
2022-07-17T18:46:53.477,3.1
2022-07-17T18:46:56.164,3.1
2022-07-17T18:46:57.195,3.8
2022-07-17T18:46:58.836,5.0
2022-07-17T18:46:59.867,3.7
2022-07-17T18:47:02.984,2.9
2022-07-17T18:47:08.211,2.9
2022-07-17T18:47:09.234,4.0
2022-07-17T18:47:10.375,3.7
2022-07-17T18:47:24.977,4.0
2022-07-17T18:47:25.883,4.3
2022-07-17T18:47:26.914,4.9
2022-07-17T18:47:29.594,5.7
2022-07-17T18:47:30.625,5.7
2022-07-17T18:47:31.617,6.9
2022-07-17T18:47:32.688,5.8
2022-07-17T18:47:33.711,6.0
2022-07-17T18:47:34.625,6.0
2022-07-17T18:47:35.695,5.0
2022-07-17T18:47:37.828,4.8
2022-07-17T18:47:38.813,4.9
2022-07-17T18:47:39.867,5.0
2022-07-17T18:47:41.773,3.9
2022-07-17T18:47:43.852,3.0
2022-07-17T18:47:45.797,4.0
2022-07-17T18:47:46.781,5.2
2022-07-17T18:47:47.711,6.2
2022-07-17T18:47:48.703,5.5
2022-07-17T18:47:50.203,5.5
2022-07-17T18:47:51.156,3.9
2022-07-17T18:47:55.734,4.7
2022-07-17T18:47:56.672,3.4
2022-07-17T18:47:58.961,5.1
2022-07-17T18:47:59.938,3.9
2022-07-17T18:48:02.047,3.4
2022-07-17T18:48:07.195,2.3
2022-07-17T18:48:09.344,3.6
2022-07-17T18:48:10.227,4.3
2022-07-17T18:48:12.094,4.4
2022-07-17T18:48:13.969,3.1
2022-07-17T18:48:16.023,3.1
2022-07-17T18:48:17.883,3.1
2022-07-17T18:48:19.781,4.3
2022-07-17T18:48:20.688,5.1
2022-07-17T18:48:21.797,6.1
2022-07-17T18:48:22.742,5.8
2022-07-17T18:48:23.797,6.0
2022-07-17T18:48:24.805,6.1
2022-07-17T18:48:25.719,6.3
2022-07-17T18:48:26.656,5.1
2022-07-17T18:48:29.367,5.0
2022-07-17T18:48:30.313,4.2
2022-07-17T18:48:31.773,5.5
2022-07-17T18:48:32.727,5.2
2022-07-17T18:48:33.805,5.9
2022-07-17T18:48:34.758,5.9
2022-07-17T18:48:35.703,6.0
2022-07-17T18:48:36.703,5.8
2022-07-17T18:48:37.766,5.9
2022-07-17T18:48:38.672,5.8
2022-07-17T18:48:39.727,5.9
2022-07-17T18:48:40.758,5.6
2022-07-17T18:48:41.805,6.0
2022-07-17T18:48:42.648,4.4
2022-07-17T18:48:49.797,4.6
2022-07-17T18:48:50.781,3.6
2022-07-17T18:48:52.203,4.1
2022-07-17T18:48:54.688,4.0
2022-07-17T18:48:55.742,4.7
2022-07-17T18:48:56.672,4.6
2022-07-17T18:48:59.766,4.6
2022-07-17T18:49:00.797,4.5
2022-07-17T18:49:01.766,4.7
2022-07-17T18:49:04.281,4.6
2022-07-17T18:49:05.352,3.5
2022-07-17T18:49:07.508,3.0
2022-07-17T18:49:14.977,3.1
2022-07-17T18:49:15.984,4.4
2022-07-17T18:49:16.875,7.5
2022-07-17T18:49:17.453,6.8
2022-07-17T18:49:18.984,8.5
2022-07-17T18:49:19.484,7.0
2022-07-17T18:49:20.523,6.4
2022-07-17T18:49:23.438,4.5
2022-07-17T18:49:24.422,4.6
