totsec,z_fdr,ROC_fpm,groundspeed_kts,true_course_deg,hdg_deg_T,mag_hdg,TAS_kts,CAS_kts,bank_deg
19:01:59.406,3115.2,-1576.7,138.66,197.67,-162.624973357724,209,135.68,124.55,-28.293
19:02:00.414,3090.2,-1403.8,134.81,193.2,-167.274527875914,204.53,131.64,120.88,-26.646
19:02:01.195,3072.8,-1284.1,133.03,189.91,-170.64482703829,201.24,129.76,119.18,-25.072
19:02:02.344,3049.7,-1185,132.13,185.59,-175.036083540028,196.92,128.79,118.32,-23.7
19:02:03.344,3030.2,-1187.3,131.88,181.98,-178.709065650334,193.31,128.59,118.16,-24.003
19:02:03.594,3025.3,-1206.1,131.86,181.09,-179.614101045118,192.42,128.59,118.17,-24.3
19:02:04.305,3010.5,-1299.7,132.01,178.55,-182.20753799945,189.88,128.88,118.46,-25.204
19:02:04.797,2999.5,-1389.5,132.4,176.8,-183.977478930236,188.13,129.39,118.95,-25.587
19:02:05.195,2990,-1485.8,132.76,175.41,-185.368899184121,186.74,129.89,119.41,-25.863
19:02:06.289,2960.2,-1841.3,134.02,171.72,-189.111658035978,183.05,131.69,121.11,-28.186
19:02:06.594,2950.6,-1954.7,134.37,170.62,-190.275778726974,181.95,132.23,121.62,-28.07
19:02:08.398,2881.8,-1814.8,135.44,163.56,-197.791098525903,174.89,133.36,122.76,-21.206
19:02:09.398,2855.9,-1204.6,135.66,159.8,-201.680581225342,171.13,133.06,122.53,-19.706
19:02:10.313,2842.4,-712.32,135.86,156.39,-205.132965458011,167.72,133.06,122.54,-22.028
19:02:10.797,2837.4,-592.01,136.05,154.49,-207.009698546436,165.82,133.27,122.75,-24.663
19:02:11.203,2833.5,-582.34,136.16,152.89,-208.572305239244,164.22,133.46,122.92,-26.951
19:02:11.594,2829.6,-651.03,136.38,151.37,-210.060425776932,162.7,133.78,123.22,-28.263
19:02:13.273,2804.8,-1160.7,137.85,144.98,-216.532723770736,156.31,135.91,125.22,-29.726
19:02:14.375,2780.2,-1362,138.49,140.41,-221.250440853298,151.74,136.99,126.25,-29.845
19:02:15.344,2757.9,-1381.9,138.54,136.09,-225.690382744264,147.42,137.32,126.59,-28.444
19:02:15.797,2747.5,-1350.3,138.26,134.14,-227.665405533164,145.47,137.13,126.43,-26.995
19:02:16.594,2730.3,-1237.6,137.85,130.93,-230.892288868475,142.26,136.82,126.17,-24.553
19:02:16.906,2723.9,-1192.7,137.84,129.74,-232.083508477997,141.07,136.85,126.21,-23.203
19:02:17.195,2718.3,-1128.7,137.68,128.69,-233.154825696475,140.02,136.71,126.09,-21.786
19:02:17.844,2707.1,-865.76,136.82,126.35,-235.585496342253,137.68,135.81,125.28,-20.855
19:02:18.797,2697.3,-452.19,135.41,122.75,-239.248798635344,134.08,134.44,124.03,-21.815
19:02:19.195,2694.7,-330.28,134.71,121.24,-240.767065168438,132.57,133.8,123.44,-22.534
19:02:19.945,2691.8,-175.92,133.06,118.34,-243.731871996407,129.67,132.31,122.07,-24.919
19:02:20.797,2690.2,-118.71,131.11,114.68,-247.486502518067,126.01,130.58,120.48,-28.431
19:02:21.398,2689,-135.38,129.8,111.88,-250.361918805715,123.21,129.46,119.44,-29.979
19:02:21.867,2687.9,-151.25,128.83,109.62,-252.676080143709,120.95,128.63,118.68,-30.719
19:02:22.594,2685.9,-186.35,127.46,105.94,-256.432673916793,117.27,127.5,117.64,-32.526
19:02:23.719,2681.7,-337.57,125.91,99.82,-262.598631343341,111.15,126.37,116.6,-34.912
19:02:24.195,2678.7,-426.29,125.61,97.19,-265.229028231614,108.52,126.26,116.5,-34.757
19:02:24.625,2675.3,-487.44,125.84,94.82,-267.575478057728,106.15,126.66,116.87,-33.964
19:02:25.594,2666.6,-582.89,125.23,89.56,-272.781074454572,100.89,126.41,116.66,-32.965
19:02:26.398,2658.3,-668.32,123.53,85.3,-277.03858797128,96.63,125,115.37,-32.955
