time,groundspeed
2022-07-17T19:01:02.000,163.3
2022-07-17T19:01:03.000,162.9
2022-07-17T19:01:04.000,162.3
2022-07-17T19:01:05.000,162.1
2022-07-17T19:01:06.000,162.1
2022-07-17T19:01:07.000,162.2
2022-07-17T19:01:08.000,162.3
2022-07-17T19:01:09.000,162.6
2022-07-17T19:01:10.000,163.0
2022-07-17T19:01:11.000,163.5
2022-07-17T19:01:12.000,163.8
2022-07-17T19:01:13.000,163.8
2022-07-17T19:01:14.000,163.6
2022-07-17T19:01:15.000,163.3
2022-07-17T19:01:16.000,163.1
2022-07-17T19:01:17.000,163.0
2022-07-17T19:01:18.000,163.0
2022-07-17T19:01:19.000,162.8
2022-07-17T19:01:20.000,162.5
2022-07-17T19:01:21.000,162.3
2022-07-17T19:01:22.000,162.2
2022-07-17T19:01:23.000,162.1
2022-07-17T19:01:24.000,162.2
2022-07-17T19:01:25.000,162.4
2022-07-17T19:01:26.000,162.6
2022-07-17T19:01:27.000,162.5
2022-07-17T19:01:28.000,162.1
2022-07-17T19:01:29.000,161.5
2022-07-17T19:01:30.000,160.3
2022-07-17T19:01:31.000,159.0
2022-07-17T19:01:32.000,157.3
2022-07-17T19:01:33.000,155.9
2022-07-17T19:01:34.000,154.6
2022-07-17T19:01:35.000,153.6
2022-07-17T19:01:36.000,152.7
2022-07-17T19:01:37.000,152.2
2022-07-17T19:01:38.000,151.3
2022-07-17T19:01:39.000,150.4
2022-07-17T19:01:40.000,149.5
2022-07-17T19:01:41.000,148.9
2022-07-17T19:01:42.000,148.3
2022-07-17T19:01:43.000,147.7
2022-07-17T19:01:44.000,147.4
2022-07-17T19:01:45.000,147.1
2022-07-17T19:01:46.000,146.8
2022-07-17T19:01:47.000,146.3
2022-07-17T19:01:48.000,145.6
2022-07-17T19:01:49.000,144.9
2022-07-17T19:01:50.000,143.7
2022-07-17T19:01:51.000,142.1
2022-07-17T19:01:52.000,140.1
2022-07-17T19:01:53.000,138.0
2022-07-17T19:01:54.000,136.3
2022-07-17T19:01:55.000,134.9
2022-07-17T19:01:56.000,133.7
2022-07-17T19:01:57.000,132.9
2022-07-17T19:01:58.000,132.1
2022-07-17T19:01:59.000,131.6
2022-07-17T19:02:00.000,131.2
2022-07-17T19:02:01.000,131.0
2022-07-17T19:02:02.000,130.6
2022-07-17T19:02:03.000,130.0
2022-07-17T19:02:04.000,129.0
2022-07-17T19:02:05.000,128.0
2022-07-17T19:02:06.000,126.9
2022-07-17T19:02:07.000,126.0
2022-07-17T19:02:08.000,125.0
2022-07-17T19:02:09.000,124.0
2022-07-17T19:02:10.000,123.0
2022-07-17T19:02:11.000,121.6
2022-07-17T19:02:12.000,120.6
2022-07-17T19:02:13.000,119.5
2022-07-17T19:02:14.000,118.9
