time,groundspeed
2022-07-17T18:45:01.609,295.9
2022-07-17T18:45:02.734,293.6
2022-07-17T18:45:03.859,300.6
2022-07-17T18:45:04.781,292.9
2022-07-17T18:45:05.773,290.4
2022-07-17T18:45:06.703,296.4
2022-07-17T18:45:07.773,290.2
2022-07-17T18:45:08.711,304.1
2022-07-17T18:45:09.633,296.5
2022-07-17T18:45:10.789,298.5
2022-07-17T18:45:11.813,293.8
2022-07-17T18:45:12.977,297.7
2022-07-17T18:45:14.055,298.4
2022-07-17T18:45:14.992,292.9
2022-07-17T18:45:15.906,297.0
2022-07-17T18:45:16.953,296.9
2022-07-17T18:45:17.883,298.3
2022-07-17T18:45:18.805,298.9
2022-07-17T18:45:19.672,296.4
2022-07-17T18:45:20.602,294.9
2022-07-17T18:45:21.516,296.1
2022-07-17T18:45:22.664,300.7
2022-07-17T18:45:23.672,306.3
2022-07-17T18:45:24.836,293.0
2022-07-17T18:45:25.914,299.9
2022-07-17T18:45:26.852,294.9
2022-07-17T18:45:27.766,296.0
2022-07-17T18:45:28.813,300.1
2022-07-17T18:45:29.727,296.5
2022-07-17T18:45:30.875,302.4
2022-07-17T18:45:31.883,293.3
2022-07-17T18:45:33.047,301.4
2022-07-17T18:45:34.125,295.5
2022-07-17T18:45:35.063,292.7
2022-07-17T18:45:35.977,293.9
2022-07-17T18:45:37.023,295.5
2022-07-17T18:45:37.953,294.7
2022-07-17T18:45:38.891,289.3
2022-07-17T18:45:39.906,298.6
2022-07-17T18:45:41.031,299.2
2022-07-17T18:45:42.945,299.5
2022-07-17T18:45:43.875,297.7
2022-07-17T18:45:44.945,288.9
2022-07-17T18:45:45.813,297.2
2022-07-17T18:45:46.742,292.7
2022-07-17T18:45:47.656,298.1
2022-07-17T18:45:48.805,289.8
2022-07-17T18:45:49.813,303.8
2022-07-17T18:45:50.727,302.8
2022-07-17T18:45:51.875,302.0
2022-07-17T18:45:52.883,290.8
2022-07-17T18:45:54.047,298.4
2022-07-17T18:45:55.125,298.3
2022-07-17T18:45:56.063,294.6
2022-07-17T18:45:56.977,295.4
2022-07-17T18:45:58.023,295.0
2022-07-17T18:45:58.953,293.0
2022-07-17T18:45:59.891,288.1
2022-07-17T18:46:00.906,294.8
2022-07-17T18:46:02.031,297.8
2022-07-17T18:46:02.953,301.2
2022-07-17T18:46:03.945,289.4
2022-07-17T18:46:04.875,295.4
2022-07-17T18:46:05.945,284.0
2022-07-17T18:46:06.813,298.6
2022-07-17T18:46:07.742,290.0
2022-07-17T18:46:08.656,293.7
2022-07-17T18:46:09.805,287.8
2022-07-17T18:46:10.813,297.9
2022-07-17T18:46:11.727,301.5
2022-07-17T18:46:12.875,297.8
2022-07-17T18:46:13.883,292.9
2022-07-17T18:46:15.047,299.2
2022-07-17T18:46:16.133,294.2
2022-07-17T18:46:16.992,298.8
2022-07-17T18:46:17.922,287.9
2022-07-17T18:46:18.992,298.7
2022-07-17T18:46:19.867,289.9
2022-07-17T18:46:20.797,300.9
2022-07-17T18:46:21.727,292.7
2022-07-17T18:46:22.797,298.5
2022-07-17T18:46:23.664,291.2
2022-07-17T18:46:24.594,290.2
2022-07-17T18:46:25.500,291.5
2022-07-17T18:46:26.656,294.3
2022-07-17T18:46:27.664,300.3
2022-07-17T18:46:28.820,287.2
2022-07-17T18:46:29.906,291.6
2022-07-17T18:46:30.844,282.3
2022-07-17T18:46:31.805,298.5
2022-07-17T18:46:32.633,290.9
2022-07-17T18:46:33.688,298.4
2022-07-17T18:46:34.766,285.6
2022-07-17T18:46:35.883,287.2
2022-07-17T18:46:37.016,295.3
2022-07-17T18:46:37.938,300.1
2022-07-17T18:46:38.922,296.5
2022-07-17T18:46:39.852,290.5
2022-07-17T18:46:40.922,282.5
2022-07-17T18:46:41.797,291.7
2022-07-17T18:46:42.727,283.2
2022-07-17T18:46:43.797,296.3
2022-07-17T18:46:44.664,285.4
2022-07-17T18:46:45.594,291.2
2022-07-17T18:46:46.500,290.4
2022-07-17T18:46:47.656,293.8
2022-07-17T18:46:48.664,299.3
2022-07-17T18:46:49.820,286.9
2022-07-17T18:46:50.906,298.0
2022-07-17T18:46:51.844,292.4
2022-07-17T18:46:52.727,298.1
2022-07-17T18:46:53.656,289.9
2022-07-17T18:46:54.563,286.8
2022-07-17T18:46:56.195,289.7
2022-07-17T18:46:57.313,296.1
2022-07-17T18:46:58.445,296.2
2022-07-17T18:46:59.367,298.9
2022-07-17T18:47:00.352,287.1
2022-07-17T18:47:01.281,293.8
2022-07-17T18:47:02.352,286.4
2022-07-17T18:47:03.258,290.9
2022-07-17T18:47:04.305,291.9
2022-07-17T18:47:05.234,291.8
2022-07-17T18:47:06.172,290.6
2022-07-17T18:47:07.008,289.1
2022-07-17T18:47:08.055,294.2
2022-07-17T18:47:09.133,293.9
2022-07-17T18:47:10.258,289.2
2022-07-17T18:47:25.305,293.4
2022-07-17T18:47:26.234,290.0
2022-07-17T18:47:27.172,284.8
2022-07-17T18:47:28.508,284.0
2022-07-17T18:47:29.656,285.1
2022-07-17T18:47:30.664,292.6
2022-07-17T18:47:31.828,279.6
2022-07-17T18:47:32.906,288.5
2022-07-17T18:47:33.844,278.1
2022-07-17T18:47:34.805,295.1
2022-07-17T18:47:35.633,284.1
2022-07-17T18:47:36.688,290.9
2022-07-17T18:47:37.773,278.3
2022-07-17T18:47:38.891,289.1
2022-07-17T18:47:40.023,287.2
2022-07-17T18:47:40.945,290.1
2022-07-17T18:47:41.938,282.2
2022-07-17T18:47:42.867,288.1
2022-07-17T18:47:43.938,276.2
2022-07-17T18:47:44.805,283.0
2022-07-17T18:47:45.953,279.1
2022-07-17T18:47:46.961,293.6
2022-07-17T18:47:48.125,280.5
2022-07-17T18:47:49.203,284.1
2022-07-17T18:47:50.141,280.5
2022-07-17T18:47:51.055,285.9
2022-07-17T18:47:52.102,288.9
2022-07-17T18:47:53.031,281.3
2022-07-17T18:47:53.977,282.7
2022-07-17T18:47:54.805,279.4
2022-07-17T18:47:55.773,289.7
2022-07-17T18:47:56.844,283.7
2022-07-17T18:47:57.711,287.3
2022-07-17T18:47:58.648,281.0
2022-07-17T18:47:59.555,283.2
2022-07-17T18:48:00.703,276.0
2022-07-17T18:48:01.711,282.6
2022-07-17T18:48:02.875,288.9
2022-07-17T18:48:03.953,284.8
2022-07-17T18:48:04.898,282.3
2022-07-17T18:48:05.805,284.8
2022-07-17T18:48:06.953,285.9
2022-07-17T18:48:07.961,291.0
2022-07-17T18:48:09.133,278.3
2022-07-17T18:48:10.211,288.4
2022-07-17T18:48:11.156,282.0
2022-07-17T18:48:12.078,293.9
2022-07-17T18:48:13.125,287.3
2022-07-17T18:48:14.055,283.7
2022-07-17T18:48:14.992,289.5
2022-07-17T18:48:15.828,285.2
2022-07-17T18:48:16.773,289.0
2022-07-17T18:48:17.703,281.3
2022-07-17T18:48:18.773,288.3
2022-07-17T18:48:19.648,288.3
2022-07-17T18:48:20.578,284.8
2022-07-17T18:48:21.484,286.1
2022-07-17T18:48:22.633,286.8
2022-07-17T18:48:23.648,285.2
2022-07-17T18:48:24.805,282.8
2022-07-17T18:48:25.883,287.7
2022-07-17T18:48:26.828,289.8
2022-07-17T18:48:27.984,290.6
2022-07-17T18:48:29.063,282.3
2022-07-17T18:48:30.008,283.0
2022-07-17T18:48:30.914,287.1
2022-07-17T18:48:31.969,285.6
2022-07-17T18:48:32.898,296.2
2022-07-17T18:48:33.836,286.2
2022-07-17T18:48:34.664,287.5
2022-07-17T18:48:35.719,281.9
2022-07-17T18:48:36.797,287.1
2022-07-17T18:48:37.773,288.9
2022-07-17T18:48:38.703,287.2
2022-07-17T18:48:39.773,288.8
2022-07-17T18:48:40.656,288.1
2022-07-17T18:48:41.586,282.9
2022-07-17T18:48:42.492,282.9
2022-07-17T18:48:43.648,285.6
2022-07-17T18:48:44.656,281.3
2022-07-17T18:48:45.813,277.0
2022-07-17T18:48:46.898,283.0
2022-07-17T18:48:47.836,281.0
2022-07-17T18:48:48.703,286.7
2022-07-17T18:48:49.633,277.4
2022-07-17T18:48:50.547,278.9
2022-07-17T18:48:51.695,272.0
2022-07-17T18:48:52.703,272.1
2022-07-17T18:48:53.867,279.8
2022-07-17T18:48:54.945,274.0
2022-07-17T18:48:55.883,271.9
2022-07-17T18:48:56.797,269.8
2022-07-17T18:48:57.844,269.5
2022-07-17T18:48:58.883,269.8
2022-07-17T18:48:59.969,265.8
2022-07-17T18:49:01.086,265.5
2022-07-17T18:49:02.219,273.0
2022-07-17T18:49:03.133,274.6
2022-07-17T18:49:04.125,271.6
2022-07-17T18:49:05.055,264.8
2022-07-17T18:49:06.125,255.3
2022-07-17T18:49:06.992,266.0
2022-07-17T18:49:07.922,259.0
2022-07-17T18:49:09.273,261.6
2022-07-17T18:49:10.219,259.2
2022-07-17T18:49:11.047,259.8
2022-07-17T18:49:12.094,262.0
2022-07-17T18:49:13.703,260.0
2022-07-17T18:49:14.867,261.6
2022-07-17T18:49:15.945,257.5
2022-07-17T18:49:16.883,251.3
2022-07-17T18:49:17.797,254.6
2022-07-17T18:49:18.844,256.3
2022-07-17T18:49:19.883,257.6
2022-07-17T18:49:20.969,253.1
2022-07-17T18:49:22.086,250.4
2022-07-17T18:49:23.219,257.8
2022-07-17T18:49:24.133,254.3
2022-07-17T18:49:25.586,261.6
2022-07-17T18:49:26.633,249.3
2022-07-17T18:49:27.563,249.4
2022-07-17T18:49:28.508,250.1
2022-07-17T18:49:29.336,249.0
2022-07-17T18:49:30.273,254.2
2022-07-17T18:49:31.633,247.1
2022-07-17T18:49:32.547,246.4
2022-07-17T18:49:33.695,244.1
2022-07-17T18:49:34.703,247.5
2022-07-17T18:49:35.867,254.4
2022-07-17T18:49:36.945,249.7
2022-07-17T18:49:37.883,243.7
2022-07-17T18:49:38.797,244.1
2022-07-17T18:49:39.844,247.4
2022-07-17T18:49:40.828,247.1
2022-07-17T18:49:41.695,249.0
2022-07-17T18:49:42.625,245.9
2022-07-17T18:49:43.539,246.1
2022-07-17T18:49:44.688,237.3
2022-07-17T18:49:45.695,241.6
2022-07-17T18:49:46.859,245.9
2022-07-17T18:49:47.938,246.2
2022-07-17T18:49:48.875,239.8
2022-07-17T18:49:49.789,242.0
2022-07-17T18:49:51.336,240.0
2022-07-17T18:49:52.484,240.4
2022-07-17T18:49:53.492,238.7
2022-07-17T18:49:54.656,244.1
2022-07-17T18:49:55.734,242.2
2022-07-17T18:49:56.672,237.1
2022-07-17T18:49:57.586,237.8
2022-07-17T18:49:58.633,238.4
2022-07-17T18:49:59.563,237.9
2022-07-17T18:50:00.508,242.0
2022-07-17T18:50:01.336,245.3
2022-07-17T18:50:02.328,245.1
2022-07-17T18:50:03.258,240.0
2022-07-17T18:50:04.328,234.0
2022-07-17T18:50:05.195,241.1
2022-07-17T18:50:06.125,235.3
2022-07-17T18:50:07.039,236.7
2022-07-17T18:50:08.188,231.6
2022-07-17T18:50:09.195,234.4
2022-07-17T18:50:10.359,241.9
2022-07-17T18:50:11.438,241.0
2022-07-17T18:50:12.336,237.6
2022-07-17T18:50:13.484,232.6
2022-07-17T18:50:14.492,234.5
2022-07-17T18:50:15.664,238.5
2022-07-17T18:50:16.742,233.1
2022-07-17T18:50:17.688,233.0
2022-07-17T18:50:18.594,234.9
2022-07-17T18:50:19.648,236.5
2022-07-17T18:50:20.578,229.2
2022-07-17T18:50:21.516,234.3
2022-07-17T18:50:22.344,231.3
2022-07-17T18:50:23.508,237.3
2022-07-17T18:50:24.586,231.1
2022-07-17T18:50:25.523,230.9
2022-07-17T18:50:26.906,231.9
2022-07-17T18:50:27.977,229.0
2022-07-17T18:50:28.844,231.4
2022-07-17T18:50:29.773,224.7
2022-07-17T18:50:30.688,226.0
2022-07-17T18:50:31.836,223.9
2022-07-17T18:50:32.844,224.6
2022-07-17T18:50:33.758,216.7
2022-07-17T18:50:34.906,220.6
2022-07-17T18:50:35.914,224.4
2022-07-17T18:50:37.633,221.7
2022-07-17T18:50:38.555,222.0
2022-07-17T18:50:39.547,215.5
2022-07-17T18:50:40.477,223.0
2022-07-17T18:50:41.547,212.3
